2016-06-13_03:13:03 1465780383 0xB, 9 6 2.27 1.84-1.51
2016-06-13_03:14:05 1465780445 0xB, A 1 1.84 1.83-0.00
2016-06-13_03:15:03 1465780503 0xB, 9 7 2.27 1.52-2.87
2016-06-13_03:16:05 1465780565 0xB, A 2 1.79 1.15-3.11
2016-06-13_03:17:03 1465780623 0xB, 9 8 2.00 2.07 0.27
2016-06-13_03:18:05 1465780685 0xB, A 3 1.64 1.83 0.81
2016-06-13_03:19:03 1465780743 0xB, 9 9 2.27 1.96-1.07
2016-06-13_03:20:05 1465780805 0xB, A 4 1.64 1.63-0.00
2016-06-13_03:21:03 1465780863 0xB, 9 10 2.11 1.79-1.15
2016-06-13_03:22:05 1465780925 0xB, A 5 1.60 1.95 1.43
2016-06-13_03:23:03 1465780983 0xB, 9 11 2.35 1.76-2.07
2016-06-13_03:24:05 1465781045 0xB, A 6 1.88 1.72-0.62
2016-06-13_03:25:03 1465781103 0xB, 9 12 2.55 1.64-3.15
2016-06-13_03:26:05 1465781165 0xB, A 7 1.72 1.83 0.47
2016-06-13_03:27:03 1465781223 0xB, 9 13 2.27 1.67-2.16
2016-06-13_03:28:05 1465781285 0xB, A 8 1.79 1.83 0.15
2016-06-13_03:31:03 1465781463 0xB, 9 15 1.79 1.60-0.83
2016-06-13_03:33:03 1465781583 0xB, 9 16 2.55 1.64-3.15
2016-06-13_03:33:23 1465781603 0xB, A 1 1.67 1.51-0.70
2016-06-13_03:35:03 1465781703 0xB, 9 17 2.27 1.64-2.33
2016-06-13_03:35:23 1465781723 0xB, A 2 1.67 1.47-0.89
2016-06-13_03:37:03 1465781823 0xB, 9 18 2.03 1.72-1.20
2016-06-13_03:37:23 1465781843 0xB, A 3 1.88 2.03 0.57
2016-06-13_03:39:03 1465781943 0xB, 9 19 2.20 1.67-1.90
2016-06-13_03:39:23 1465781963 0xB, A 4 1.36 1.67 1.49
2016-06-13_03:41:03 1465782063 0xB, 9 20 2.31 1.36-3.78
2016-06-13_03:41:23 1465782083 0xB, A 5 1.60 2.19 2.25
2016-06-13_03:43:03 1465782183 0xB, 9 21 1.84 2.03 0.73
2016-06-13_03:43:23 1465782203 0xB, A 6 1.72 1.51-0.87
2016-06-13_03:45:03 1465782303 0xB, 9 22 2.52 1.64-3.04
2016-06-13_03:45:23 1465782323 0xB, A 7 2.24 1.72-1.87
2016-06-13_03:47:03 1465782423 0xB, 9 23 2.16 1.24-3.92
