2016-06-17_05:07:22 1466132842 0x5; 63 rTX 9
2016-06-17_05:07:28 1466132848 0x5; 63 rTX 10
2016-06-17_05:07:41 1466132861 0x5; 63 rTXERR
2016-06-17_05:09:15 1466132955 0x5; 64 rTX 0
2016-06-17_05:09:16 1466132956 0x5; 64 rTX 1
2016-06-17_05:09:16 1466132956 0x5; 64 rTX 2
2016-06-17_05:09:16 1466132956 0x5; 64 rTX 3
2016-06-17_05:09:16 1466132956 0x5; 64 rTX 4
2016-06-17_05:09:16 1466132956 0x5; 64 rTX 5
2016-06-17_05:09:16 1466132956 0x5; 64 rTX 6
2016-06-17_05:09:17 1466132957 0x5; 64 rTX 7
2016-06-17_05:09:18 1466132958 0x5; 64 rTX 8
2016-06-17_05:09:22 1466132962 0x5; 64 rTX 9
2016-06-17_05:09:30 1466132970 0x5; 64 rTX 10
2016-06-17_05:09:44 1466132984 0x5; 64 rTXERR
2016-06-17_05:11:15 1466133075 0x5; 65 rTX 0
2016-06-17_05:11:15 1466133075 0x5; 65 rTX 1
2016-06-17_05:11:15 1466133075 0x5; 65 rTX 2
2016-06-17_05:11:15 1466133075 0x5; 65 rTX 3
2016-06-17_05:11:16 1466133076 0x5; 65 rTX 4
2016-06-17_05:11:16 1466133076 0x5; 65 rTX 5
2016-06-17_05:11:16 1466133076 0x5; 65 rTX 6
2016-06-17_05:11:17 1466133077 0x5; 65 rTX 7
2016-06-17_05:11:18 1466133078 0x5; 65 rTX 8
2016-06-17_05:11:20 1466133080 0x5; 65 rTX 9
2016-06-17_05:11:27 1466133087 0x5; 65 rTX 10
2016-06-17_05:11:36 1466133096 0x5; 65 rTXERR
2016-06-17_05:13:15 1466133195 0x5; 66 rTX 0
2016-06-17_05:13:15 1466133195 0x5; 66 rTX 1
2016-06-17_05:13:15 1466133195 0x5; 66 rTX 2
2016-06-17_05:13:15 1466133195 0x5; 66 rTX 3
2016-06-17_05:13:16 1466133196 0x5; 66 rTX 4
2016-06-17_05:13:16 1466133196 0x5; 66 rTX 5
2016-06-17_05:13:16 1466133196 0x5; 66 rTX 6
2016-06-17_05:13:17 1466133197 0x5; 66 rTX 7
2016-06-17_05:13:18 1466133198 0x5; 66 rTX 8
2016-06-17_05:13:21 1466133201 0x5; 66 rTX 9
2016-06-17_05:13:25 1466133205 0x5; 66 rTX 10
2016-06-17_05:13:41 1466133221 0x5; 66 rTXERR
2016-06-17_05:15:15 1466133315 0x5; 67 rTX 0
2016-06-17_05:15:15 1466133315 0x5; 67 rTX 1
2016-06-17_05:15:15 1466133315 0x5; 67 rTX 2
2016-06-17_05:15:15 1466133315 0x5; 67 rTX 3
2016-06-17_05:15:16 1466133316 0x5; 67 rTX 4
2016-06-17_05:15:16 1466133316 0x5; 67 rTX 5
2016-06-17_05:15:16 1466133316 0x5; 67 rTX 6
2016-06-17_05:15:17 1466133317 0x5; 67 rTX 7
2016-06-17_05:15:18 1466133318 0x5; 67 rTX 8
2016-06-17_05:15:21 1466133321 0x5; 67 rTX 9
2016-06-17_05:15:25 1466133325 0x5; 67 rTX 10
2016-06-17_05:15:37 1466133337 0x5; 67 rTXERR
2016-06-17_05:17:15 1466133435 0x5; 68 rTX 0
2016-06-17_05:17:15 1466133435 0x5; 68 rTX 1
