2016-05-26_03:27:21 1464226041 0x9, 2 22 1.76 2.00 0.90
2016-05-26_03:27:24 1464226044 0x9, 5 22 2.00 2.03 0.14
2016-05-26_03:27:25 1464226045 0x9, 6 22 1.52 2.03 2.08
2016-05-26_03:28:41 1464226121 0x9, A 22 2.20 2.23 0.12
2016-05-26_03:28:53 1464226133 0x9, 8 23 1.60 2.11 1.99
2016-05-26_03:29:21 1464226161 0x9, 2 23 1.20 2.03 3.75
2016-05-26_03:29:24 1464226164 0x9, 5 23 2.24 2.20-0.12
2016-05-26_03:29:25 1464226165 0x9, 6 23 1.55 1.84 1.16
2016-05-26_03:30:41 1464226241 0x9, A 23 1.76 2.23 1.70
2016-05-26_03:30:52 1464226252 0x9, 7 24 2.07 2.20 0.39
2016-05-26_03:31:21 1464226281 0x9, 2 24 1.67 2.16 1.77
2016-05-26_03:31:24 1464226284 0x9, 5 24 1.67 2.00 1.23
2016-05-26_03:31:25 1464226285 0x9, 6 24 1.60 2.16 2.12
2016-05-26_03:32:42 1464226362 0x9, A 24 1.52 2.07 2.22
2016-05-26_03:32:52 1464226372 0x9, 7 25 2.11 2.79 1.96
2016-05-26_03:33:21 1464226401 0x9, 2 25 1.03 2.00 4.63
2016-05-26_03:33:24 1464226404 0x9, 5 25 2.16 2.31 0.50
2016-05-26_03:33:25 1464226405 0x9, 6 25 2.00 2.64 1.96
2016-05-26_03:34:42 1464226482 0x9, A 25 1.52 2.35 3.11
2016-05-26_03:34:52 1464226492 0x9, 7 26 1.64 2.48 2.92
2016-05-26_03:35:21 1464226521 0x9, 2 26 1.55 2.59 3.61
2016-05-26_03:35:24 1464226524 0x9, 5 26 1.96 3.20 3.47
2016-05-26_03:35:25 1464226525 0x9, 6 26 2.40 2.24-0.48
2016-05-26_03:36:41 1464226601 0x9, A 26 1.96 2.03 0.28
2016-05-26_03:36:53 1464226613 0x9, 8 27 1.36 2.20 3.40
2016-05-26_03:37:21 1464226641 0x9, 2 27 1.44 2.11 2.73
2016-05-26_03:37:24 1464226644 0x9, 5 27 2.07 1.79-1.02
2016-05-26_03:37:25 1464226645 0x9, 6 27 1.88 2.00 0.43
