2016-05-10_03:36:50 1462844210 0x8; 28 rTX 8
2016-05-10_03:36:51 1462844211 0x7; 28 rTX 9
2016-05-10_03:36:53 1462844213 0x3; 27 rTX 10
2016-05-10_03:36:54 1462844214 0x8; 28 rTX 9
2016-05-10_03:36:59 1462844219 0x7; 28 rTX 10
2016-05-10_03:37:00 1462844220 0x8; 28 rTX 10
2016-05-10_03:37:05 1462844225 0x3; 27 rTXERR
2016-05-10_03:37:08 1462844228 0x7; 28 rTXERR
2016-05-10_03:37:13 1462844233 0x8; 28 rTXERR
2016-05-10_03:38:42 1462844322 0x3; 28 rTX 0
2016-05-10_03:38:42 1462844322 0x3; 28 rTX 1
2016-05-10_03:38:42 1462844322 0x3; 28 rTX 2
2016-05-10_03:38:42 1462844322 0x3; 28 rTX 3
2016-05-10_03:38:42 1462844322 0x3; 28 rTX 4
2016-05-10_03:38:42 1462844322 0x3; 28 rTX 5
2016-05-10_03:38:43 1462844323 0x3; 28 rTX 6
2016-05-10_03:38:43 1462844323 0x4; 28 rTX 0
2016-05-10_03:38:43 1462844323 0x3; 28 rTX 7
2016-05-10_03:38:45 1462844325 0x3; 28 rTX 8
2016-05-10_03:38:46 1462844326 0x7; 29 rTX 0
2016-05-10_03:38:46 1462844326 0x7; 29 rTX 1
2016-05-10_03:38:46 1462844326 0x7; 29 rTX 2
2016-05-10_03:38:46 1462844326 0x7; 29 rTX 3
2016-05-10_03:38:46 1462844326 0x7; 29 rTX 4
2016-05-10_03:38:46 1462844326 0x7; 29 rTX 5
2016-05-10_03:38:47 1462844327 0x8; 29 rTX 0
2016-05-10_03:38:47 1462844327 0x8; 29 rTX 1
2016-05-10_03:38:47 1462844327 0x8; 29 rTX 2
2016-05-10_03:38:47 1462844327 0x7; 29 rTX 6
2016-05-10_03:38:47 1462844327 0x8; 29 rTX 3
2016-05-10_03:38:47 1462844327 0x8; 29 rTX 4
2016-05-10_03:38:47 1462844327 0x8; 29 rTX 5
2016-05-10_03:38:47 1462844327 0x3; 28 rTX 9
2016-05-10_03:38:47 1462844327 0x7; 29 rTX 7
2016-05-10_03:38:48 1462844328 0x8; 29 rTX 6
2016-05-10_03:38:48 1462844328 0x8; 29 rTX 7
2016-05-10_03:38:49 1462844329 0x7; 29 rTX 8
2016-05-10_03:38:50 1462844330 0x8; 29 rTX 8
2016-05-10_03:38:52 1462844332 0x3; 28 rTX 10
2016-05-10_03:38:52 1462844332 0x7; 29 rTX 9
2016-05-10_03:38:53 1462844333 0x8; 29 rTX 9
2016-05-10_03:38:57 1462844337 0x7; 29 rTX 10
2016-05-10_03:38:58 1462844338 0x8; 29 rTX 10
2016-05-10_03:39:01 1462844341 0x3; 28 rTXERR
2016-05-10_03:39:06 1462844346 0x7; 29 rTXERR
2016-05-10_03:39:14 1462844354 0x8; 29 rTXERR
2016-05-10_03:40:42 1462844442 0x3; 29 rTX 0
2016-05-10_03:40:42 1462844442 0x3; 29 rTX 1
2016-05-10_03:40:42 1462844442 0x3; 29 rTX 2
2016-05-10_03:40:42 1462844442 0x3; 29 rTX 3
2016-05-10_03:40:42 1462844442 0x3; 29 rTX 4
2016-05-10_03:40:42 1462844442 0x3; 29 rTX 5
2016-05-10_03:40:43 1462844443 0x3; 29 rTX 6
2016-05-10_03:40:43 1462844443 0x4; 29 rTX 0
2016-05-10_03:40:43 1462844443 0x4; 29 rTX 1
2016-05-10_03:40:43 1462844443 0x3; 29 rTX 7
2016-05-10_03:40:45 1462844445 0x3; 29 rTX 8
2016-05-10_03:40:46 1462844446 0x7; 30 rTX 0
2016-05-10_03:40:46 1462844446 0x7; 30 rTX 1
2016-05-10_03:40:46 1462844446 0x7; 30 rTX 2
2016-05-10_03:40:46 1462844446 0x7; 30 rTX 3
2016-05-10_03:40:46 1462844446 0x7; 30 rTX 4
2016-05-10_03:40:46 1462844446 0x7; 30 rTX 5
2016-05-10_03:40:47 1462844447 0x7; 30 rTX 6
2016-05-10_03:40:47 1462844447 0x8; 30 rTX 0
2016-05-10_03:40:47 1462844447 0x8; 30 rTX 1
2016-05-10_03:40:47 1462844447 0x8; 30 rTX 2
2016-05-10_03:40:47 1462844447 0x8; 30 rTX 3
2016-05-10_03:40:47 1462844447 0x8; 30 rTX 4
2016-05-10_03:40:47 1462844447 0x8; 30 rTX 5
2016-05-10_03:40:47 1462844447 0x7; 30 rTX 7
2016-05-10_03:40:47 1462844447 0x8; 30 rTX 6
2016-05-10_03:40:48 1462844448 0x3; 29 rTX 9
2016-05-10_03:40:48 1462844448 0x8; 30 rTX 7
2016-05-10_03:40:49 1462844449 0x7; 30 rTX 8
2016-05-10_03:40:50 1462844450 0x8; 30 rTX 8
2016-05-10_03:40:51 1462844451 0x7; 30 rTX 9
2016-05-10_03:40:53 1462844453 0x8; 30 rTX 9
