2016-05-30_03:22:54 1464571374 0x7 9;2,0,2,2,1,2,2,2,1,2,2,0,2,2,2,2,2,2,1,2,2,2,0,2,0-176a,abf-0:0/0;0:0/0;0:d7/68;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-05-30_03:24:54 1464571494 0x7 10;2,2,2,0,2,0,5,2,2,2,1,2,1,5,2,2,2,2,3,2,2,3,1,1,2-1771,aa5-0:0/0;0:0/0;0:d7/68;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-05-30_03:26:54 1464571614 0x7 11;2,2,2,2,3,3,2,1,2,1,9,0,1,2,2,2,2,1,1,2,2,0,1,4,0-1776,a8a-0:0/0;0:0/0;0:d7/6a;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-05-30_03:28:54 1464571734 0x7 12;2,5,3,1,9,2,2,2,0,2,2,8,2,6,2,2,0,1,1,2,4,4,5,2,0-1778,a71-0:0/0;0:0/0;0:d7/6a;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-05-30_03:30:54 1464571854 0x7 13;1,0,2,9,0,2,0,2,2,2,2,4,5,2,1,2,3,0,4,1,2,0,2,3,3-177b,a5b-0:0/0;0:0/0;0:d7/66;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-05-30_03:32:54 1464571974 0x7 14;3,3,2,2,5,2,2,2,2,2,1,3,4,2,1,4,2,2,0,0,0,2,2,3,2-177d,a48-0:0/0;0:0/0;0:d7/68;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-05-30_03:34:54 1464572094 0x7 15;3,8,2,2,2,3,3,2,2,2,2,0,2,3,2,2,4,1,2,2,2,2,2,9,1-177e,a37-0:0/0;0:0/0;0:d7/6a;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-05-30_03:36:54 1464572214 0x7 16;3,3,2,2,2,1,2,2,1,1,0,2,2,2,0,3,2,1,2,2,3,1,2,2,2-177f,a26-0:0/0;0:0/0;0:d7/69;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-05-30_03:38:54 1464572334 0x7 17;2,2,2,2,2,2,3,0,2,0,1,2,2,2,4,1,2,2,1,1,2,1,0,2,1-1782,a18-0:0/0;0:0/0;0:d8/68;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-05-30_03:40:54 1464572454 0x7 18;3,2,2,2,2,0,4,1,2,2,2,5,5,2,2,2,2,0,1,0,0,1,4,2,1-1784,a09-0:0/0;0:0/0;0:d7/6a;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-05-30_03:42:54 1464572574 0x7 19;6,2,2,2,2,3,0,0,3,1,1,2,2,0,0,3,2,2,2,2,2,5,2,0,2-1788,9fd-0:0/0;0:0/0;0:d7/68;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
