2016-06-25_03:05:29 1466816729 0x1 1;2,0,2,2,2,2,2,2,1,2,0,1,2,4,0,2,1,2,4,0,2,3,1,2,6-1844,b85-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-25_03:07:29 1466816849 0x1 2;2,0,2,2,b,1,2,1,2,2,0,2,2,2,1,2,1,9,2,1,0,1,2,1,2-1879,b4d-0:0/0;1:fc/6b;0:0/0;0:0/0;1:ed/6b;1:f6/6b;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-25_03:09:29 1466816969 0x1 3;1,2,2,2,1,1,1,1,1,1,4,2,1,2,1,0,6,2,2,2,1,2,3,1,2-189b,b39-0:0/0;1:fc/6b;0:0/0;0:0/0;1:ed/6b;1:f6/6c;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-25_03:11:29 1466817089 0x1 4;0,2,2,1,1,1,1,1,2,3,2,2,2,0,4,1,1,2,1,4,1,0,1,2,3-18b4,b2e-0:0/0;1:fe/6a;0:0/0;0:0/0;1:ed/6a;1:f6/6c;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-25_03:13:29 1466817209 0x1 5;1,2,2,0,1,2,0,2,0,2,2,2,2,2,0,1,2,1,1,1,2,1,3,2,1-18c8,b25-0:0/0;1:fe/6b;0:0/0;0:0/0;1:ed/6b;1:f6/6b;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-25_03:15:29 1466817329 0x1 6;0,1,1,1,2,0,2,2,2,2,0,1,0,2,2,1,1,2,3,2,2,2,0,1,1-18da,b1d-0:0/0;1:fc/6c;0:0/0;0:0/0;1:ed/6b;1:f7/6c;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-25_03:17:29 1466817449 0x1 7;0,1,1,1,0,2,2,2,3,3,2,3,2,2,1,3,3,2,1,3,2,0,3,2,0-18ea,b15-0:0/0;1:fe/6b;0:0/0;0:0/0;1:ed/6a;1:f6/6a;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-25_03:19:29 1466817569 0x1 8;2,2,1,1,2,6,2,1,2,2,a,2,1,4,0,1,2,2,1,0,0,1,0,2,0-18f8,b0b-0:0/0;1:fc/6b;0:0/0;0:0/0;1:ed/6a;1:f6/6b;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-25_03:21:29 1466817689 0x1 9;2,2,1,1,4,1,0,1,8,2,4,2,2,4,1,1,0,0,2,0,0,1,1,1,1-1904,b00-0:0/0;1:fe/6a;0:0/0;0:0/0;1:ed/6b;1:f6/6b;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-25_03:23:29 1466817809 0x1 10;1,0,2,2,2,0,2,2,2,1,2,2,2,2,1,2,0,2,1,0,2,1,1,2,4-190e,af3-0:0/0;1:fc/6b;0:0/0;0:0/0;1:ed/6a;1:f6/69;0:0/0;0:0/0;0:0/0;0:0/0
