2016-04-24_00:22:12 1461450132 0x2 0;2,2,2,2,2,2,1,2,1,2,1,2,2,9,2,2,0,0,2,2,1,2,0,2,2-1120,af6-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_00:28:12 1461450492 0x2 71;1,1,2,3,2,1,4,3,2,2,2,0,2,0,0,1,2,0,1,1,2,2,2,1,2-11ac,a7e-1:0/6c;0:0/0;0:0/0;0:0/0;1:e9/6b;1:f0/6c;0:0/0;0:0/0;0:d3/64;0:0/0
2016-04-24_00:32:12 1461450732 0x2 73;2,2,2,2,1,1,8,2,1,3,1,1,3,2,0,1,3,1,0,0,2,3,1,1,2-11c2,a53-1:0/6c;0:0/0;0:0/0;0:0/0;1:e9/6c;1:f0/6c;0:0/0;0:0/0;0:d3/60;0:0/0
2016-04-24_00:39:13 1461451153 0x2 0; BOOT
2016-04-24_00:41:12 1461451272 0x2 0;3,2,2,1,0,0,2,1,0,2,3,4,1,0,2,2,2,4,1,1,2,2,1,1,2-1162,a6a-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_00:47:12 1461451632 0x2 81;1,5,2,1,2,1,0,2,3,3,2,3,5,5,0,5,2,3,1,2,2,2,2,2,1-11c2,a29-1:fc/6b;0:0/0;0:0/0;0:0/0;1:e9/6b;1:f0/6b;0:0/0;0:0/0;0:d3/63;0:0/0
2016-04-24_00:53:13 1461451993 0x2 84;3,2,2,4,6,1,2,3,3,2,3,2,2,4,2,3,3,2,2,2,3,2,3,3,3-11d2,a0b-1:0/6c;0:0/0;0:0/0;0:0/0;1:e9/6b;1:ef/6b;0:0/0;0:0/0;0:d3/68;0:0/0
2016-04-24_00:55:12 1461452112 0x2 85;2,3,2,3,2,0,3,3,3,3,3-11d7,a;0:d4/63;0:0/0
2016-04-24_00:58:13 1461452293 0x2 0; BOOT
2016-04-24_01:02:12 1461452532 0x2 89;4,4,5,5,9,2,5,5,5,5,4,5,5,2,7,4,5,5,4,5,4,5,5,5,4-11a6,a3f-88:ff/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:d3/66;0:0/0
2016-04-24_01:08:13 1461452893 0x2 92;8,9,9,4,8,9,7,a,c,7,8,8,6,8,8,8,8,8,6,a,8,8,8,8,4-11ce,a0c-1:0/6c;0:0/0;0:0/0;0:0/0;1:e9/6a;1:f0/6b;0:0/0;0:0/0;0:d3/62;0:0/0
2016-04-24_01:12:12 1461453132 0x2 94;b,b,b,d,9,a,9,b,a,e,9,a,a,b,b,a,9,b,b,a,9,a,a,8,a-11d6,9fc-1:0/69;0:0/0;0:0/0;0:0/0;1:e9/6c;1:ef/6b;0:0/0;0:0/0;0:d4/64;0:0/0
2016-04-24_01:14:12 1461453252 0x2 95;b,c,c,c,c,c,d,d,a,c,b,c,d,c,c,c,d,c,e,c,d,b,b,c,a-11d9,9f7-1:0/6c;0:0/0;0:0/0;0:0/0;1:e9/6c;1:f0/6b;0:0/0;0:0/0;0:d3/61;0:0/0
2016-04-24_01:17:13 1461453433 0x2 0; BOOT
2016-04-24_01:36:12 1461454572 0x2 0; BOOT
2016-04-24_02:33:13 1461457993 0x2 0; BOOT
2016-04-24_02:43:14 1461458594 0x2 140;b,9c,9a,9b,9c,9b,9b,9c,99,999/6c;1:f0/6c;0:0/0;0:0/0;0:d0x2; 141 rTX 9
2016-04-24_02:52:13 1461459133 0x2 0; BOOT
2016-04-24_03:11:13 1461460273 0x2 0; BOOT
2016-04-24_03:21:13 1461460873 0x2 159;12a,12a,129,12a,129,129,128,f/6a;0:0/0;0:0/0;0:0/0;1:e9/0x2; 160 rTX 9
2016-04-24_03:32:12 1461461532 0x2 0;15c,15c,15e,15d,15d,15c,15c,15c,15c,15c,15e,15c,15c,15d,15c,15d,15c,15b,15d,159,15d,15c,160,15d,160-12f4,9a2-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;00x2; 1 rTX 8
2016-04-24_03:42:13 1461462133 0x2 170;153,158,159,154,152,154,153,c/6b;0:0/0;0:0/0;0:0/0;1:ea/0x2; 171 rTX 9
2016-04-24_03:44:14 1461462254 0x2 171;205,207,20d,209,203,204,209,c/6c;0:0/0;0:0/0;0:0/0;1:e9/0x2; 172 rTX 9
2016-04-24_03:46:12 1461462372 0x2 172;1f0,1f1,1f1,1ed,1ec,1ee,1ee,e/6c;0:0/0;0:0/0;0:0/0;1:e9/0x2; 173 rTX 8
2016-04-24_03:49:13 1461462553 0x2 0; BOOT
2016-04-24_03:53:13 1461462793 0x2 176;19b,198,19c,19c,19f,19e,19e,c/6b;0:0/0;0:0/0;0:0/0;0:0/00x2; 177 rTX 9
2016-04-24_04:08:12 1461463692 0x2 0; BOOT
2016-04-24_04:12:13 1461463933 0x2 185;2b1,2aa,2a9,2a9,2aa,2a6,2a6,f/6b;0:0/0;0:0/0;0:0/0;0:0/00x2; 186 rTX 9
2016-04-24_04:16:12 1461464172 0x2 187;1ce,1ce,1ce,1cd,1ce,1c8,1cc,0x2; 188 rTX 9
2016-04-24_04:18:13 1461464293 0x2 188;185,185,184,184,181,184,184,0x2; 189 rTX 9
2016-04-24_04:20:13 1461464413 0x2 189;1dd,1d9,1dc,1dd,1de,1dd,1e1,f/68;0:0/0;0:0/0;0:0/0;1:e7/0x2; 190 rTX 9
2016-04-24_04:22:13 1461464533 0x2 190;242,244,241,241,241,23f,241,241,241,23e,241,240,243,23d,241,238,242,240,23e,242,241,240,23e,242,241-14fc,899-0:fe/6b;0:0/0;0:0/0;0:0/0;1:e7/0x2; 191 rTX 9
2016-04-24_04:24:12 1461464652 0x2 191;21e,21f,224,220,21f,21f,220,e/6c;0:0/0;0:0/0;0:0/0;1:e7/0x2; 192 rTX 9
2016-04-24_04:27:12 1461464832 0x2 0; BOOT
2016-04-24_04:29:13 1461464953 0x2 0;414,41e,41a,416,40c,412,418,/0;0:0/0;0:0/0;0:0/0;0:0/0;00x2; 1 rTX 8
2016-04-24_04:31:12 1461465072 0x2 195;30a,30d,30b,30d,30c,30d,30a,e/6c;0:0/0;0:0/0;0:0/0;0:0/00x2; 196 rTX 8
2016-04-24_04:35:13 1461465313 0x2 197;1e9,1e8,1e8,1e9,1e9,1e9,1e9,1e9,1e9,1ea,1e8,1ea,1ea,1ea,1ea,1e9,1ea,1ea,1ea,1ea,1ea,1eb,1eb,1eb,1eb-1532,8bb-0:ff/6c;0:0/0;0:0/0;0:0/0;1:e9/0x2; 198 rTX 8
