2016-06-14_03:04:57 1465866297 0x9, 1 1 1.91 2.16 0.83
2016-06-14_03:05:00 1465866300 0x9, 2 1 1.76 1.76 0.00
2016-06-14_03:05:02 1465866302 0x9, 6 1 1.91 2.27 1.21
2016-06-14_03:06:58 1465866418 0x9, 1 2 1.84 2.44 1.99
2016-06-14_03:07:02 1465866422 0x9, 6 2 1.55 2.35 2.93
2016-06-14_03:08:58 1465866538 0x9, 2 3 1.20 2.11 4.02
2016-06-14_03:09:02 1465866542 0x9, 6 3 1.55 2.31 2.81
2016-06-14_03:10:57 1465866657 0x9, 1 4 1.32 2.40 4.23
2016-06-14_03:10:59 1465866659 0x9, 2 4 1.64 2.11 1.81
2016-06-14_03:11:02 1465866662 0x9, 6 4 1.64 2.55 3.15
2016-06-14_03:12:57 1465866777 0x9, 1 5 1.27 2.11 3.57
2016-06-14_03:13:02 1465866782 0x9, 6 5 1.52 2.03 2.08
2016-06-14_03:14:58 1465866898 0x9, 2 6 1.44 2.27 3.25
2016-06-14_03:15:02 1465866902 0x9, 6 6 1.44 2.00 2.32
2016-06-14_03:15:22 1465866922 0x9, 1 6 2.03 2.59 1.71
2016-06-14_03:16:57 1465867017 0x9, 1 7 1.79 2.35 1.91
2016-06-14_03:16:59 1465867019 0x9, 2 7 1.15 1.76 2.95
2016-06-14_03:17:02 1465867022 0x9, 6 7 1.64 1.96 1.26
2016-06-14_03:18:58 1465867138 0x9, 1 8 1.39 2.11 2.93
2016-06-14_03:18:58 1465867138 0x9, 2 8 1.27 1.88 2.72
2016-06-14_03:19:02 1465867142 0x9, 6 8 1.52 1.91 1.65
2016-06-14_03:20:57 1465867257 0x9, 1 9 1.55 2.27 2.68
2016-06-14_03:21:02 1465867262 0x9, 6 9 1.44 2.03 2.46
2016-06-14_03:22:58 1465867378 0x9, 2 10 1.32 2.11 3.35
2016-06-14_03:23:02 1465867382 0x9, 6 10 1.79 2.68 2.81
2016-06-14_03:25:02 1465867502 0x9, 6 11 2.11 2.35 0.75
2016-06-14_03:26:58 1465867618 0x9, 2 12 1.60 2.00 1.58
2016-06-14_03:27:01 1465867621 0x9, 1 12 1.84 2.76 2.87
2016-06-14_03:27:02 1465867622 0x9, 6 12 1.52 2.40 3.23
2016-06-14_03:28:57 1465867737 0x9, 1 13 1.76 2.03 1.04
2016-06-14_03:28:58 1465867738 0x9, 2 13 1.20 2.11 4.02
2016-06-14_03:29:02 1465867742 0x9, 6 13 1.48 2.31 3.18
2016-06-14_03:31:02 1465867862 0x9, 6 14 1.55 2.40 3.05
2016-06-14_03:33:00 1465867980 0x9, 2 15 1.03 1.96 4.48
2016-06-14_03:33:02 1465867982 0x9, 6 15 1.96 2.27 1.07
2016-06-14_03:34:57 1465868097 0x9, 1 16 1.72 2.07 1.34
2016-06-14_03:34:58 1465868098 0x9, 2 16 1.39 2.35 3.69
2016-06-14_03:35:02 1465868102 0x9, 6 16 1.67 2.03 1.37
2016-06-14_03:36:57 1465868217 0x9, 1 17 1.24 2.16 3.92
2016-06-14_03:36:58 1465868218 0x9, 2 17 1.27 1.88 2.72
2016-06-14_03:37:02 1465868222 0x9, 6 17 1.48 2.00 2.13
2016-06-14_03:38:57 1465868337 0x9, 1 18 1.67 2.35 2.40
2016-06-14_03:38:58 1465868338 0x9, 2 18 1.12 2.16 4.65
2016-06-14_03:39:02 1465868342 0x9, 6 18 1.32 2.68 5.01
2016-06-14_03:40:58 1465868458 0x9, 2 19 1.52 2.24 2.74
2016-06-14_03:41:02 1465868462 0x9, 6 19 1.79 2.24 1.54
2016-06-14_03:42:57 1465868577 0x9, 1 20 1.52 2.31 2.99
2016-06-14_03:43:02 1465868582 0x9, 6 20 1.52 2.68 4.01
2016-06-14_03:44:59 1465868699 0x9, 2 21 1.20 2.00 3.61
2016-06-14_03:45:00 1465868700 0x9, 1 21 2.11 2.07-0.13
2016-06-14_03:45:02 1465868702 0x9, 6 21 1.79 2.27 1.67
2016-06-14_03:47:02 1465868822 0x9, 6 22 2.00 2.52 1.63
2016-06-14_03:47:21 1465868841 0x9, 1 22 1.72 2.31 2.11
