2016-06-13_03:27:07 1465781227 0x3 9;1,1,2,1,1,2,1,0,1,1,2-16c8,b0;0:0/0
2016-06-13_03:30:58 1465781458 0x3 13;0,2,1,1,1,0,0,1,1,1,0,1,1,1,1,2,1,1,0,2,2,0,2,5,4-16e6,afd-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:32:58 1465781578 0x3 14;1,0,3,0,2,1,1,1,1,1,2,1,1,2,0,1,1,3,2,1,1,1,1,1,1-16ec,aef-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:34:58 1465781698 0x3 15;2,2,2,0,1,0,1,0,1,0,1,3,2,0,1,1,1,1,1,1,1,2,1,1,0-16f0,adf-0:0/0;0:0/0;0:0/0;1:7/6b;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:36:58 1465781818 0x3 16;1,0,1,2,0,1,3,1,1,5,0,1,1,1,1,0,0,1,2,1,1,2,1,1,1-16f3,ac7-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:38:58 1465781938 0x3 17;1,2,2,2,2,1,2,1,0,1,5,2,5,1,1,0,2,1,0,1,2,1,1,6,2-16f8,aa5-0:0/0;0:0/0;0:0/0;1:7/6b;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:40:58 1465782058 0x3 18;2,1,0,1,1,2,2,0,1,2,2,1,1,0,0,1,0,1,0,1,1,2,2,0,2-16fc,a77-0:0/0;0:0/0;0:0/0;1:7/6a;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:42:58 1465782178 0x3 19;1,2,1,2,2,0,0,2,2,0,2,1,3,1,0,0,2,1,1,1,1,4,1,2,1-16fe,a4a-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:44:58 1465782298 0x3 20;1,2,1,1,1,0,1,2,1,2,5,5,1,2,1,1,2,1,1,2,4,1,1,1,2-1700,a2f-0:0/0;0:0/0;0:0/0;1:7/6b;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:46:58 1465782418 0x3 21;2,2,2,2,1,2,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1-1702,a21-0:0/0;0:0/0;0:0/0;1:7/6b;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:48:58 1465782538 0x3 22;0,1,1,1,2,1,1,0,5,2,5,0,0,1,2,0,2,2,3,4,1,0,0,0,2-1704,a19-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:50:58 1465782658 0x3 23;2,2,0,2,2,0,1,3,2,0,2,1,1,5,1,1,0,2,1,0,5,2,2,4,5-1706,a12-0:0/0;0:0/0;0:0/0;1:7/6b;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:52:58 1465782778 0x3 24;0,1,6,0,1,0,1,1,2,1,2,0,2,2,3,3,1,1,0,0,1,0,0,1,1-1708,a0c-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:54:58 1465782898 0x3 25;0,2,0,6,4,5,1,2,1,4,1,1,2,2,5,1,1,0,7,2,1,0,0,1,1-170a,a08-0:0/0;0:0/0;0:0/0;1:7/6b;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:56:58 1465783018 0x3 26;1,1,0,1,1,1,5,2,1,1,1,2,4,0,2,1,5,2,1,2,2,1,0,1,0-170b,a04-0:0/0;0:0/0;0:0/0;1:7/6b;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_03:58:58 1465783138 0x3 27;0,1,4,0,1,2,2,1,0,4,0,4,1,4,1,2,2,2,2,2,1,2,1,1,1-170e,9ff-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:00:58 1465783258 0x3 28;1,2,1,2,4,1,5,1,2,1,2,2,5,2,1,1,1,0,1,0,0,1,1,1,2-170f,9fb-0:0/0;0:0/0;0:0/0;1:7/6b;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:02:58 1465783378 0x3 29;0,1,2,1,1,2,3,0,2,4,1,2,1,1,0,1,1,5,2,4,5,2,0,1,1-1710,9f7-0:0/0;0:0/0;0:0/0;1:7/69;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:04:58 1465783498 0x3 30;2,1,1,3,0,2,2,2,0,1,0,3,0,0,3,1,0,4,4,3,1,0,2,0,0-1710,9f4-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:06:58 1465783618 0x3 31;0,2,4,0,1,5,0,1,1,1,1,1,1,2,2,1,1,2,2,1,1,0,1,1,1-1711,9f2-0:0/0;0:0/0;0:0/0;1:7/6b;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:08:58 1465783738 0x3 32;0,2,1,2,1,1,2,2,4,1,1,1,1,2,1,1,1,1,1,1,2,0,1,2,3-1712,9ef-0:0/0;0:0/0;0:0/0;1:7/68;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:10:58 1465783858 0x3 33;0,2,1,1,0,1,1,1,2,3,4,2,1,2,1,0,0,1,0,0,1,2,1,1,0-1711,9ec-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:12:58 1465783978 0x3 34;4,0,3,1,1,1,1,1,5,2,0,0,1,4,1,2,2,2,4,1,2,2,2,4,1-1713,9ea-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:14:58 1465784098 0x3 35;0,2,0,0,3,4,2,1,1,1,2,1,1,3,5,2,0,1,3,0,2,3,1,1,1-1712,9e8-0:0/0;0:0/0;0:0/0;1:7/6a;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:16:58 1465784218 0x3 36;4,4,3,1,1,4,2,1,1,2,1,1,1,0,1,2,4,1,1,0,1,1,0,2,1-1714,9e6-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:18:58 1465784338 0x3 37;1,2,1,2,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,0-1716,9e3-0:0/0;0:0/0;0:0/0;1:8/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:20:58 1465784458 0x3 38;4,0,2,2,0,1,0,1,1,1,1,1,1,0,1,2,4,2,1,2,5,1,1,0,2-1716,9e1-0:0/0;0:0/0;0:0/0;1:7/6b;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:22:58 1465784578 0x3 39;0,0,2,0,1,2,1,2,2,1,3,2,1,2,0,2,1,1,0,1,1,4,0,1,2-1716,9dd-0:0/0;0:0/0;0:0/0;1:7/6a;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:24:58 1465784698 0x3 40;0,5,1,4,0,1,2,2,0,3,1,1,1,2,1,4,1,0,2,2,2,3,2,2,2-1716,9db-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:26:58 1465784818 0x3 41;0,5,2,2,2,2,2,2,2,2,2,0,2,2,5,2,1,1,1,2,6,0,2,1,0-1717,9da-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-06-13_04:28:58 1465784938 0x3 42;2,2,2,1,2,1,1,2,1,0,4,1,1,6,3,2,1,1,2,1,1,2,1,2,2-1718,9d7-0:0/0;0:0/0;0:0/0;1:7/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
