2016-05-10_02:53:33 1462841613 0xA, 9 6 1.88 1.55-1.32
2016-05-10_02:55:33 1462841733 0xA, 9 7 2.40 1.48-3.42
2016-05-10_02:57:33 1462841853 0xA, 9 8 2.27 1.60-2.50
2016-05-10_02:59:33 1462841973 0xA, 9 9 2.07 1.76-1.18
2016-05-10_03:01:33 1462842093 0xA, 9 10 2.16 2.07-0.26
2016-05-10_03:03:33 1462842213 0xA, 9 11 2.52 1.96-1.77
2016-05-10_03:05:33 1462842333 0xA, 9 12 2.52 1.67-2.87
2016-05-10_03:07:33 1462842453 0xA, 9 13 2.35 1.60-2.75
2016-05-10_03:09:33 1462842573 0xA, 9 14 2.03 1.91-0.42
2016-05-10_03:11:33 1462842693 0xA, 9 15 2.20 1.88-1.11
2016-05-10_03:13:33 1462842813 0xA, 9 16 2.20 1.72-1.74
2016-05-10_03:15:33 1462842933 0xA, 9 17 2.35 1.52-3.11
2016-05-10_03:17:33 1462843053 0xA, 9 18 1.96 1.52-1.80
2016-05-10_03:19:33 1462843173 0xA, 9 19 2.11 1.88-0.85
2016-05-10_03:21:33 1462843293 0xA, 9 20 2.35 1.36-3.90
2016-05-10_03:23:33 1462843413 0xA, 9 21 2.76 1.64-3.68
2016-05-10_03:25:33 1462843533 0xA, 9 22 2.40 1.76-2.19
2016-05-10_03:27:33 1462843653 0xA, 9 23 2.31 2.07-0.77
2016-05-10_03:29:33 1462843773 0xA, 9 24 2.48 2.07-1.24
2016-05-10_03:31:33 1462843893 0xA, 9 25 1.84 2.07 0.86
2016-05-10_03:33:33 1462844013 0xA, 9 26 2.31 1.67-2.28
2016-05-10_03:35:33 1462844133 0xA, 9 27 3.20 1.44-5.65
2016-05-10_03:37:33 1462844253 0xA, 9 28 2.59 1.96-2.00
2016-05-10_03:39:33 1462844373 0xA, 9 29 2.27 2.03-0.78
2016-05-10_03:41:33 1462844493 0xA, 9 30 2.24 1.55-2.56
2016-05-10_03:43:33 1462844613 0xA, 9 31 2.11 1.76-1.31
2016-05-10_03:45:33 1462844733 0xA, 9 32 2.20 1.88-1.11
2016-05-10_03:47:33 1462844853 0xA, 9 33 2.44 1.52-3.35
2016-05-10_03:49:33 1462844973 0xA, 9 34 2.88 1.88-3.02
2016-05-10_03:51:33 1462845093 0xA, 9 35 2.40 1.36-4.02
2016-05-10_03:53:33 1462845213 0xA, 9 36 1.88 1.88 0.00
2016-05-10_03:55:33 1462845333 0xA, 9 37 2.16 1.67-1.77
2016-05-10_03:57:33 1462845453 0xA, 9 38 2.59 1.52-3.80
2016-05-10_03:59:33 1462845573 0xA, 9 39 2.24 1.72-1.87
2016-05-10_04:01:33 1462845693 0xA, 9 40 1.72 1.79 0.32
2016-05-10_04:03:33 1462845813 0xA, 9 41 2.20 1.52-2.61
2016-05-10_04:05:33 1462845933 0xA, 9 42 2.44 1.84-1.99
2016-05-10_04:07:33 1462846053 0xA, 9 43 2.03 2.00-0.14
2016-05-10_04:09:33 1462846173 0xA, 9 44 2.20 1.55-2.43
2016-05-10_04:11:33 1462846293 0xA, 9 45 2.44 1.72-2.47
2016-05-10_04:13:33 1462846413 0xA, 9 46 2.55 1.67-2.98
2016-05-10_04:15:33 1462846533 0xA, 9 47 1.91 1.84-0.30
2016-05-10_04:17:33 1462846653 0xA, 9 48 2.52 1.39-4.16
2016-05-10_04:19:33 1462846773 0xA, 9 49 2.00 1.88-0.43
2016-05-10_04:21:33 1462846893 0xA, 9 50 2.27 1.55-2.68
2016-05-10_04:23:33 1462847013 0xA, 9 51 2.79 1.55-4.14
2016-05-10_04:25:33 1462847133 0xA, 9 52 2.03 1.48-2.27
2016-05-10_04:27:33 1462847253 0xA, 9 53 2.16 1.52-2.48
2016-05-10_04:29:33 1462847373 0xA, 9 54 2.11 1.91-0.70
2016-05-10_04:31:33 1462847493 0xA, 9 55 2.52 1.67-2.87
2016-05-10_04:33:33 1462847613 0xA, 9 56 2.44 1.55-3.16
2016-05-10_04:35:33 1462847733 0xA, 9 57 2.11 2.03-0.27
2016-05-10_04:37:33 1462847853 0xA, 9 58 2.40 2.24-0.48
2016-05-10_04:39:33 1462847973 0xA, 9 59 2.24 1.96-0.94
2016-05-10_04:41:33 1462848093 0xA, 9 60 2.76 1.52-4.22
2016-05-10_04:43:33 1462848213 0xA, 9 61 2.44 1.72-2.47
2016-05-10_04:45:33 1462848333 0xA, 9 62 2.76 2.31-1.22
2016-05-10_04:47:33 1462848453 0xA, 9 63 2.72 1.76-3.08
2016-05-10_04:49:33 1462848573 0xA, 9 64 2.35 2.35 0.00
2016-05-10_04:51:33 1462848693 0xA, 9 65 2.64 2.31-0.91
2016-05-10_04:53:33 1462848813 0xA, 9 66 3.03 2.83-0.48
2016-05-10_04:55:33 1462848933 0xA, 9 67 2.52 1.96-1.77
2016-05-10_04:57:33 1462849053 0xA, 9 68 3.27 2.72-1.32
2016-05-10_04:59:33 1462849173 0xA, 9 69 3.83 2.35-3.44
2016-05-10_05:01:33 1462849293 0xA, 9 70 4.23 3.40-1.56
2016-05-10_05:03:33 1462849413 0xA, 9 71 4.15 3.52-1.18
2016-05-10_05:05:33 1462849533 0xA, 9 72 4.63 4.23-0.63
2016-05-10_05:07:33 1462849653 0xA, 9 73 5.92 4.48-1.97
2016-05-10_05:09:33 1462849773 0xA, 9 74 6.76 5.67-1.23
2016-05-10_05:11:33 1462849893 0xA, 9 75 7.88 6.84-1.00
2016-05-10_05:13:33 1462850013 0xA, 9 76 9.68 7.55-1.75
2016-05-10_05:15:33 1462850133 0xA, 9 77 11.27 9.88-0.93
2016-05-10_05:17:33 1462850253 0xA, 9 78 14.56 11.88-1.44
2016-05-10_05:19:33 1462850373 0xA, 9 79 16.47 14.15-1.07
2016-05-10_05:21:33 1462850493 0xA, 9 80 20.04 17.12-1.11
2016-05-10_05:23:33 1462850613 0xA, 9 81 23.92 20.76-1.00
2016-05-10_05:25:33 1462850733 0xA, 9 82 27.60 24.36-0.88
2016-05-10_05:27:33 1462850853 0xA, 9 83 32.95 28.68-0.98
2016-05-10_05:29:33 1462850973 0xA, 9 84 38.84 33.75-0.99
2016-05-10_05:31:33 1462851093 0xA, 9 85 44.24 39.00-0.89
2016-05-10_05:33:33 1462851213 0xA, 9 86 51.00 45.00-0.88
2016-05-10_05:35:33 1462851333 0xA, 9 87 58.20 51.08-0.92
2016-05-10_05:37:33 1462851453 0xA, 9 88 67.31 58.31-1.01
2016-05-10_05:39:33 1462851573 0xA, 9 89 76.63 67.91-0.85
2016-05-10_05:41:33 1462851693 0xA, 9 90 87.48 76.95-0.90
2016-05-10_05:43:33 1462851813 0xA, 9 91 99.16 87.27-0.90
2016-05-10_05:45:33 1462851933 0xA, 9 92 111.80 97.36-0.97
2016-05-10_05:47:33 1462852053 0xA, 9 93 125.76 109.04-1.01
2016-05-10_05:49:33 1462852173 0xA, 9 94 139.80 121.16-1.01
2016-05-10_05:51:33 1462852293 0xA, 9 95 154.96 133.47-1.05
2016-05-10_05:53:33 1462852413 0xA, 9 96 171.88 146.88-1.11
2016-05-10_05:55:33 1462852533 0xA, 9 97 189.32 159.55-1.21
2016-05-10_05:57:33 1462852653 0xA, 9 98 207.96 172.32-1.33
2016-05-10_05:59:33 1462852773 0xA, 9 99 226.88 185.39-1.42
2016-05-10_06:01:33 1462852893 0xA, 9 100 246.36 199.24-1.50
2016-05-10_06:03:33 1462853013 0xA, 9 101 258.72 211.88-1.41
2016-05-10_06:05:33 1462853133 0xA, 9 102 280.32 224.80-1.56
2016-05-10_06:07:33 1462853253 0xA, 9 103 303.76 238.08-1.72
2016-05-10_06:09:33 1462853373 0xA, 9 104 308.79 251.52-1.45
2016-05-10_06:11:33 1462853493 0xA, 9 105 326.00 269.04-1.35
2016-05-10_06:13:33 1462853613 0xA, 9 106 341.51 289.32-1.17
2016-05-10_06:15:33 1462853733 0xA, 9 107 376.32 309.16-1.39
2016-05-10_06:17:33 1462853853 0xA, 9 108 440.72 328.95-2.07
2016-05-10_06:19:33 1462853973 0xA, 9 109 513.71 347.20-2.77
2016-05-10_06:21:33 1462854093 0xA, 9 110 556.55 363.72-3.01
2016-05-10_06:23:33 1462854213 0xA, 9 111 587.96 381.67-3.05
2016-05-10_06:25:33 1462854333 0xA, 9 112 638.35 398.64-3.33
2016-05-10_06:27:33 1462854453 0xA, 9 113 673.76 415.92-3.41
2016-05-10_06:29:33 1462854573 0xA, 9 114 699.91 433.48-3.39
2016-05-10_06:31:33 1462854693 0xA, 9 115 747.67 450.00-3.59
2016-05-10_06:33:33 1462854813 0xA, 9 116 793.28 466.00-3.76
2016-05-10_06:35:33 1462854933 0xA, 9 117 829.28 481.88-3.84
2016-05-10_06:37:33 1462855053 0xA, 9 118 867.35 496.67-3.94
2016-05-10_06:39:33 1462855173 0xA, 9 119 902.71 512.47-4.00
2016-05-10_06:41:33 1462855293 0xA, 9 120 938.55 529.35-4.05
2016-05-10_06:43:33 1462855413 0xA, 9 121 970.64 543.15-4.11
2016-05-10_06:45:33 1462855533 0xA, 9 122 1000.44 560.11-4.10
2016-05-10_06:47:33 1462855653 0xA, 9 123 1026.64 573.47-4.12
2016-05-10_06:49:33 1462855773 0xA, 9 124 1051.43 588.23-4.11
2016-05-10_06:51:33 1462855893 0xA, 9 125 1071.31 606.91-4.02
2016-05-10_06:53:33 1462856013 0xA, 9 126 1090.11 658.71-3.56
2016-05-10_06:55:33 1462856133 0xA, 9 127 1108.00 646.55-3.81
2016-05-10_06:57:33 1462856253 0xA, 9 128 1121.52 644.88-3.91
2016-05-10_06:59:33 1462856373 0xA, 9 129 1138.68 667.96-3.77
2016-05-10_07:01:33 1462856493 0xA, 9 130 1133.47 679.08-3.62
2016-05-10_07:03:33 1462856613 0xA, 9 131 1128.16 691.20-3.46
2016-05-10_07:05:33 1462856733 0xA, 9 132 1131.00 711.88-3.27
2016-05-10_07:07:33 1462856853 0xA, 9 133 1138.80 766.67-2.80
2016-05-10_07:09:33 1462856973 0xA, 9 134 1143.68 728.67-3.19
2016-05-10_07:11:33 1462857093 0xA, 9 135 1147.80 735.08-3.15
2016-05-10_07:13:33 1462857213 0xA, 9 136 1153.07 761.23-2.94
2016-05-10_07:15:33 1462857333 0xA, 9 137 1160.11 818.71-2.46
2016-05-10_07:17:33 1462857453 0xA, 9 138 1163.31 867.88-2.07
2016-05-10_07:19:33 1462857573 0xA, 9 139 1167.40 783.52-2.82
2016-05-10_07:23:43 1462857823 0xA, 9 140 1172.11 801.11-2.69
2016-05-10_07:25:43 1462857943 0xA, 9 141 1173.56 814.88-2.58
2016-05-10_07:27:43 1462858063 0xA, 9 142 1173.11 840.47-2.36
2016-05-10_07:51:44 1462859504 0xA, 9 154 1196.43 1174.83-0.12
2016-05-10_07:53:43 1462859623 0xA, 9 155 1197.23 1172.00-0.15
2016-05-10_07:55:43 1462859743 0xA, 9 156 1199.16 1169.07-0.17
2016-05-10_07:57:43 1462859863 0xA, 9 157 1199.23 1166.43-0.19
2016-05-10_07:59:43 1462859983 0xA, 9 158 1199.56 1166.31-0.19
2016-05-10_08:01:43 1462860103 0xA, 9 159 1203.88 1169.16-0.20
2016-05-10_08:03:43 1462860223 0xA, 9 160 1205.35 1171.31-0.20
2016-05-10_08:05:43 1462860343 0xA, 9 161 1205.11 1173.59-0.18
2016-05-10_08:07:43 1462860463 0xA, 9 162 1204.04 1174.19-0.17
2016-05-10_08:09:43 1462860583 0xA, 9 163 1200.64 1171.11-0.17
2016-05-10_08:11:43 1462860703 0xA, 9 164 1199.23 1170.71-0.17
2016-05-10_08:13:43 1462860823 0xA, 9 165 1193.43 1162.52-0.18
2016-05-10_08:15:43 1462860943 0xA, 9 166 1192.40 1160.59-0.19
2016-05-10_08:17:43 1462861063 0xA, 9 167 1208.40 1175.11-0.19
2016-05-10_08:19:43 1462861183 0xA, 9 168 1209.80 1171.92-0.22
2016-05-10_08:21:43 1462861303 0xA, 9 169 1213.04 1169.07-0.26
2016-05-10_08:23:43 1462861423 0xA, 9 170 1213.83 1163.43-0.30
2016-05-10_08:25:43 1462861543 0xA, 9 171 1217.23 1161.00-0.33
2016-05-10_08:27:43 1462861663 0xA, 9 172 1221.95 1159.31-0.37
2016-05-10_08:29:43 1462861783 0xA, 9 173 1221.07 1155.40-0.39
2016-05-10_08:31:43 1462861903 0xA, 9 174 1224.59 1160.16-0.38
2016-05-10_08:33:43 1462862023 0xA, 9 175 1221.35 1155.56-0.39
2016-05-10_08:35:43 1462862143 0xA, 9 176 1224.52 1155.64-0.40
2016-05-10_08:37:43 1462862263 0xA, 9 177 1226.43 1155.71-0.42
2016-05-10_08:39:43 1462862383 0xA, 9 178 1225.28 1153.16-0.42
2016-05-10_08:41:43 1462862503 0xA, 9 179 1222.56 1154.83-0.40
2016-05-10_08:43:43 1462862623 0xA, 9 180 1221.35 1159.16-0.37
2016-05-10_08:45:43 1462862743 0xA, 9 181 1220.64 1159.40-0.36
2016-05-10_08:47:43 1462862863 0xA, 9 182 1221.43 1163.28-0.34
2016-05-10_08:49:43 1462862983 0xA, 9 183 1221.07 1163.47-0.34
2016-05-10_08:51:43 1462863103 0xA, 9 184 1222.16 1161.04-0.36
2016-05-10_08:53:43 1462863223 0xA, 9 185 1225.16 1159.07-0.39
2016-05-10_08:55:43 1462863343 0xA, 9 186 1226.76 1157.23-0.41
2016-05-10_08:57:43 1462863463 0xA, 9 187 1228.71 1156.83-0.42
2016-05-10_08:59:43 1462863583 0xA, 9 188 1230.07 1157.88-0.42
2016-05-10_09:31:43 1462865503 0xA, 9 204 1226.83 1163.11-0.37
2016-05-10_09:33:43 1462865623 0xA, 9 205 1224.35 1164.11-0.35
2016-05-10_09:35:43 1462865743 0xA, 9 206 1220.64 1165.07-0.32
2016-05-10_09:37:43 1462865863 0xA, 9 207 1218.88 1167.92-0.30
2016-05-10_09:39:43 1462865983 0xA, 9 208 1216.76 1171.16-0.27
2016-05-10_09:41:43 1462866103 0xA, 9 209 1219.80 1169.35-0.29
2016-05-10_09:43:43 1462866223 0xA, 9 210 1221.95 1169.71-0.30
2016-05-10_09:45:43 1462866343 0xA, 9 211 1218.31 1168.83-0.29
2016-05-10_09:47:43 1462866463 0xA, 9 212 1217.19 1164.35-0.31
2016-05-10_09:49:43 1462866583 0xA, 9 213 1218.28 1164.80-0.31
2016-05-10_09:51:43 1462866703 0xA, 9 214 1222.23 1162.16-0.35
2016-05-10_09:53:43 1462866823 0xA, 9 215 1224.59 1159.88-0.38
2016-05-10_09:55:43 1462866943 0xA, 9 216 1207.95 1141.19-0.40
2016-05-10_09:57:43 1462867063 0xA, 9 217 1200.68 1137.83-0.38
2016-05-10_09:59:43 1462867183 0xA, 9 218 1228.35 1169.23-0.34
2016-05-10_10:01:43 1462867303 0xA, 9 219 1227.23 1168.11-0.34
2016-05-10_10:03:43 1462867423 0xA, 9 220 1228.88 1165.11-0.37
2016-05-10_10:05:43 1462867543 0xA, 9 221 1231.95 1161.76-0.41
2016-05-10_10:07:43 1462867663 0xA, 9 222 1234.04 1158.19-0.44
2016-05-10_10:09:43 1462867783 0xA, 9 223 1235.28 1157.16-0.46
2016-05-10_10:11:43 1462867903 0xA, 9 224 1230.76 1163.68-0.39
2016-05-10_10:13:43 1462868023 0xA, 9 225 1227.71 1171.16-0.33
2016-05-10_10:15:43 1462868143 0xA, 9 226 1223.28 1173.16-0.29
2016-05-10_10:17:43 1462868263 0xA, 9 227 1221.35 1174.11-0.27
2016-05-10_10:19:43 1462868383 0xA, 9 228 1222.35 1169.56-0.31
2016-05-10_10:21:43 1462868503 0xA, 9 229 1225.76 1164.07-0.36
2016-05-10_10:23:43 1462868623 0xA, 9 230 1229.11 1161.76-0.39
2016-05-10_10:25:43 1462868743 0xA, 9 231 1233.19 1163.04-0.41
2016-05-10_10:27:43 1462868863 0xA, 9 232 1232.16 1168.28-0.37
2016-05-10_10:29:43 1462868983 0xA, 9 233 1231.83 1167.11-0.38
2016-05-10_10:31:43 1462869103 0xA, 9 234 1233.76 1162.16-0.42
2016-05-10_10:33:43 1462869223 0xA, 9 235 1236.52 1158.19-0.46
2016-05-10_10:35:43 1462869343 0xA, 9 236 1237.64 1154.52-0.49
2016-05-10_10:37:43 1462869463 0xA, 9 237 1237.31 1155.64-0.48
2016-05-10_10:39:43 1462869583 0xA, 9 238 1238.23 1164.28-0.43
2016-05-10_10:41:43 1462869703 0xA, 9 239 1235.59 1170.00-0.38
2016-05-10_10:43:43 1462869823 0xA, 9 240 1230.04 1174.07-0.32
2016-05-10_10:45:43 1462869943 0xA, 9 241 1229.11 1172.31-0.33
2016-05-10_10:47:43 1462870063 0xA, 9 242 1229.52 1166.92-0.37
2016-05-10_10:49:43 1462870183 0xA, 9 243 1229.43 1165.35-0.37
2016-05-10_10:51:43 1462870303 0xA, 9 244 1230.31 1167.47-0.37
2016-05-10_10:53:43 1462870423 0xA, 9 245 1227.56 1173.80-0.31
2016-05-10_10:55:43 1462870543 0xA, 9 246 1227.31 1174.88-0.30
2016-05-10_10:57:43 1462870663 0xA, 9 247 1226.95 1173.56-0.31
2016-05-10_10:59:43 1462870783 0xA, 9 248 1225.92 1171.64-0.32
2016-05-10_11:01:43 1462870903 0xA, 9 249 1228.04 1168.23-0.35
2016-05-10_11:03:43 1462871023 0xA, 9 250 1228.35 1166.28-0.36
2016-05-10_11:05:43 1462871143 0xA, 9 251 1228.04 1166.11-0.36
2016-05-10_11:07:43 1462871263 0xA, 9 252 1223.68 1167.35-0.33
2016-05-10_11:09:43 1462871383 0xA, 9 253 1223.95 1166.47-0.34
2016-05-10_11:11:43 1462871503 0xA, 9 254 1225.92 1163.88-0.36
2016-05-10_11:13:43 1462871623 0xA, 9 255 1229.23 1162.92-0.39
2016-05-10_11:15:43 1462871743 0xA, 9 256 1229.16 1160.71-0.40
2016-05-10_11:17:43 1462871863 0xA, 9 257 1227.59 1159.83-0.40
2016-05-10_11:19:43 1462871983 0xA, 9 258 1226.92 1159.16-0.40
2016-05-10_11:21:43 1462872103 0xA, 9 259 1224.71 1156.11-0.40
2016-05-10_11:23:43 1462872223 0xA, 9 260 1223.80 1156.56-0.40
2016-05-10_11:25:43 1462872343 0xA, 9 261 1224.23 1155.00-0.41
2016-05-10_11:27:43 1462872463 0xA, 9 262 1224.28 1159.04-0.38
2016-05-10_11:29:43 1462872583 0xA, 9 263 1218.35 1158.23-0.35
2016-05-10_11:31:43 1462872703 0xA, 9 264 1220.80 1158.00-0.37
2016-05-10_11:33:43 1462872823 0xA, 9 265 1227.16 1155.40-0.42
2016-05-10_11:35:43 1462872943 0xA, 9 266 1228.83 1150.35-0.46
2016-05-10_11:37:43 1462873063 0xA, 9 267 1227.43 1146.00-0.48
2016-05-10_11:39:43 1462873183 0xA, 9 268 1226.04 1146.43-0.47
2016-05-10_11:41:43 1462873303 0xA, 9 269 1222.40 1151.71-0.42
2016-05-10_11:43:43 1462873423 0xA, 9 270 1218.23 1153.43-0.38
2016-05-10_11:45:43 1462873543 0xA, 9 271 1217.31 1157.52-0.35
2016-05-10_11:47:43 1462873663 0xA, 9 272 1218.80 1158.56-0.35
2016-05-10_11:49:43 1462873783 0xA, 9 273 1218.16 1163.56-0.32
2016-05-10_11:53:43 1462874023 0xA, 9 275 1212.95 1172.64-0.23
2016-05-10_11:55:43 1462874143 0xA, 9 276 1211.71 1175.04-0.21
2016-05-10_11:57:43 1462874263 0xA, 9 277 1214.47 1177.68-0.21
2016-05-10_11:59:43 1462874383 0xA, 9 278 1213.35 1179.35-0.20
2016-05-10_12:01:43 1462874503 0xA, 9 279 1213.92 1175.64-0.22
2016-05-10_12:03:43 1462874623 0xA, 9 280 1215.04 1176.16-0.23
2016-05-10_12:05:43 1462874743 0xA, 9 281 1216.56 1177.35-0.23
2016-05-10_12:07:43 1462874863 0xA, 9 282 1217.92 1181.88-0.21
2016-05-10_12:09:43 1462874983 0xA, 9 283 1215.59 1184.59-0.18
2016-05-10_12:11:43 1462875103 0xA, 9 284 1214.95 1182.04-0.19
2016-05-10_12:13:43 1462875223 0xA, 9 285 1209.71 1181.07-0.16
2016-05-10_12:15:43 1462875343 0xA, 9 286 1213.83 1183.07-0.18
2016-05-10_12:17:43 1462875463 0xA, 9 287 1213.04 1178.47-0.20
2016-05-10_12:23:42 1462875822 0xA, 9 289 1210.47 1178.56-0.18
2016-05-10_12:25:42 1462875942 0xA, 9 290 1209.80 1178.35-0.18
2016-05-10_12:27:42 1462876062 0xA, 9 291 1206.31 1177.92-0.16
2016-05-10_12:29:42 1462876182 0xA, 9 292 1207.64 1173.88-0.20
2016-05-10_12:31:42 1462876302 0xA, 9 293 1211.23 1177.92-0.19
2016-05-10_12:33:42 1462876422 0xA, 9 294 1207.28 1177.71-0.17
2016-05-10_12:35:42 1462876542 0xA, 9 295 1210.11 1179.83-0.17
2016-05-10_12:37:42 1462876662 0xA, 9 296 1199.52 1074.47-0.77
2016-05-10_12:39:42 1462876782 0xA, 9 297 1206.47 1175.19-0.18
2016-05-10_12:41:42 1462876902 0xA, 9 298 1210.00 1181.83-0.16
2016-05-10_12:43:42 1462877022 0xA, 9 299 1206.95 1178.43-0.16
2016-05-10_12:45:42 1462877142 0xA, 9 300 1196.35 1179.00-0.10
2016-05-10_12:47:42 1462877262 0xA, 9 301 1198.76 1173.47-0.15
2016-05-10_12:49:42 1462877382 0xA, 9 302 1200.04 1177.23-0.13
2016-05-10_12:51:42 1462877502 0xA, 9 303 1199.52 1173.56-0.15
2016-05-10_12:53:42 1462877622 0xA, 9 304 1197.11 1173.31-0.14
2016-05-10_12:55:42 1462877742 0xA, 9 305 1199.52 1176.00-0.14
2016-05-10_12:57:42 1462877862 0xA, 9 306 1199.00 1179.07-0.11
2016-05-10_12:59:42 1462877982 0xA, 9 307 1200.80 1181.59-0.11
2016-05-10_13:01:42 1462878102 0xA, 9 308 1202.07 1183.56-0.10
2016-05-10_13:03:42 1462878222 0xA, 9 309 1203.28 1186.31-0.10
2016-05-10_13:05:42 1462878342 0xA, 9 310 1201.76 1184.71-0.10
2016-05-10_13:07:42 1462878462 0xA, 9 311 1202.23 1186.16-0.09
2016-05-10_13:09:42 1462878582 0xA, 9 312 1205.11 1186.95-0.10
2016-05-10_13:11:42 1462878702 0xA, 9 313 1205.92 1186.68-0.11
2016-05-10_13:13:42 1462878822 0xA, 9 314 1204.64 1188.59-0.09
2016-05-10_13:15:42 1462878942 0xA, 9 315 1207.52 1188.43-0.11
2016-05-10_13:17:42 1462879062 0xA, 9 316 1204.16 1185.59-0.10
2016-05-10_13:19:42 1462879182 0xA, 9 317 1201.56 1184.68-0.10
2016-05-10_13:21:42 1462879302 0xA, 9 318 1203.19 1186.23-0.10
2016-05-10_13:23:42 1462879422 0xA, 9 319 1203.76 1186.31-0.10
2016-05-10_13:25:42 1462879542 0xA, 9 320 1204.28 1186.95-0.10
2016-05-10_13:27:42 1462879662 0xA, 9 321 1198.43 1181.59-0.10
2016-05-10_13:29:42 1462879782 0xA, 9 322 1197.28 1183.64-0.08
2016-05-10_13:31:42 1462879902 0xA, 9 323 1198.71 1185.68-0.07
2016-05-10_13:33:42 1462880022 0xA, 9 324 1199.43 1184.04-0.09
2016-05-10_13:35:42 1462880142 0xA, 9 325 1201.11 1185.68-0.09
2016-05-10_13:37:42 1462880262 0xA, 9 326 1199.92 1183.59-0.09
2016-05-10_13:39:42 1462880382 0xA, 9 327 1194.92 1180.35-0.08
2016-05-10_13:41:42 1462880502 0xA, 9 328 1198.19 1185.07-0.07
2016-05-10_13:43:42 1462880622 0xA, 9 329 1192.76 1179.11-0.08
2016-05-10_13:45:42 1462880742 0xA, 9 330 1199.28 1185.52-0.08
2016-05-10_13:47:42 1462880862 0xA, 9 331 1187.16 1171.47-0.09
2016-05-10_13:49:42 1462880982 0xA, 9 332 1200.71 1185.92-0.08
2016-05-10_13:51:42 1462881102 0xA, 9 333 1198.59 1182.76-0.09
2016-05-10_13:53:42 1462881222 0xA, 9 334 1201.43 1186.64-0.08
2016-05-10_13:55:42 1462881342 0xA, 9 335 1199.80 1185.11-0.08
2016-05-10_13:57:42 1462881462 0xA, 9 336 1201.92 1186.11-0.09
2016-05-10_13:59:42 1462881582 0xA, 9 337 1199.56 1185.11-0.08
2016-05-10_14:01:42 1462881702 0xA, 9 338 1196.68 1184.16-0.07
2016-05-10_14:03:42 1462881822 0xA, 9 339 1196.64 1184.56-0.07
2016-05-10_14:05:42 1462881942 0xA, 9 340 1195.68 1184.11-0.06
2016-05-10_14:07:42 1462882062 0xA, 9 341 1197.23 1185.00-0.07
2016-05-10_14:09:42 1462882182 0xA, 9 342 1194.56 1181.71-0.07
2016-05-10_14:11:42 1462882302 0xA, 9 343 1192.47 1181.23-0.06
2016-05-10_14:13:42 1462882422 0xA, 9 344 1191.56 1180.31-0.06
2016-05-10_14:15:42 1462882542 0xA, 9 345 1187.52 1176.88-0.06
2016-05-10_14:17:42 1462882662 0xA, 9 346 1185.76 1177.43-0.04
2016-05-10_14:19:42 1462882782 0xA, 9 347 1186.92 1177.59-0.05
2016-05-10_14:21:42 1462882902 0xA, 9 348 1188.64 1180.07-0.05
