date,lai_median,lai_mean,lai_std,count
2016-04-14,0.63,1.2899125364431487,1.5163559517622227,343
2016-04-15,2.12,3.3379036827195465,2.996458823233349,353
2016-04-16,0.42,2.326,3.0708602796517552,15
2016-04-17,0.13,0.16,0.10611314715905848,11
2016-04-18,0.73,0.8452767527675277,0.763510785398954,271
2016-04-20,0.675,0.8219325153374233,0.8780707567692628,326
2016-04-21,0.54,0.6057112526539279,0.45628690286285045,471
2016-04-22,0.73,0.8722666666666666,0.897596751737947,450
2016-04-23,2.52,3.0349357798165135,2.5663542114998252,545
2016-04-24,1.54,2.736977491961415,2.6988751293840716,311
2016-04-25,1.795,2.542313432835821,2.3585208144973735,536
2016-04-26,0.94,2.0996145610278374,2.2414755690514396,467
2016-04-27,4.165,3.6859615384615383,2.1806226972023253,468
2016-04-28,2.355,2.911360946745562,2.625494145358745,338
2016-04-29,0.89,1.3803061224489797,1.3587457030833663,490
2016-04-30,0.91,1.0477966101694915,0.8155074859290492,472
2016-05-01,0.82,0.9769823788546256,0.7685765143487384,454
2016-05-02,0.8,1.1262897526501767,1.2432485341494335,566
2016-05-03,4.52,3.8037272727272726,2.7892525583403796,330
2016-05-04,0.945,1.6434649122807017,1.6720394373593066,456
2016-05-05,0.9,1.471212598425197,1.7237157091289195,635
2016-05-06,0.96,1.312749445676275,1.3367157020825842,451
2016-05-07,1.01,1.3977713178294573,1.522388476643367,516
2016-05-08,1.23,1.800769230769231,1.8766640984758065,663
2016-05-09,1.475,2.1903370786516856,1.8719258673272663,534
2016-05-10,1.21,1.8332675044883304,1.768112360287212,557
2016-05-11,2.01,2.5308116385911177,2.2871311328299577,653
2016-05-12,1.47,2.1967291311754686,2.095999895759454,587
2016-05-13,1.15,1.9595723014256619,2.0374476881644674,491
2016-05-14,4.16,3.7659240506329112,2.9393304158786626,395
2016-05-15,1.725,2.8539759036144576,2.5755412136528224,332
2016-05-16,5.91,4.39710182767624,3.022892794265937,383
2016-05-17,0.38,0.7423478260869566,1.6170393839309631,115
2016-05-18,4.5,3.7883651804670913,2.547933764958345,471
2016-05-19,0.34,2.0078666666666667,2.56134693221025,225
2016-05-20,4.87,4.844146341463415,1.9170959870060555,246
2016-05-21,4.765,4.726666666666667,1.942927370276398,336
2016-05-22,3.48,3.651555555555556,1.8724435509475714,405
2016-05-23,4.645,4.613881118881118,2.1152329654433784,286
2016-05-25,0.34,0.3469230769230769,0.04837089610234227,13
2016-05-26,5.0649999999999995,4.248975903614458,2.736480958417121,166
2016-05-27,2.4400000000000004,3.2846,3.1767793855120057,300
2016-05-28,1.42,2.305404814004376,2.293819188501608,457
2016-05-29,0.37,0.5325,1.1869315277693584,32
2016-05-30,6.3149999999999995,5.845583333333334,1.7740400627544197,120
2016-05-31,3.85,3.8394059405940597,2.3380944471009633,101
2016-06-01,0.33,0.8225892857142857,1.68891123601195,112
2016-06-02,0.12,0.6549999999999999,1.6731010527960148,144
2016-06-03,0.65,2.16353591160221,2.4319326299794466,181
2016-06-04,3.33,3.5642391304347827,1.9758165560262333,92
2016-06-05,2.4699999999999998,2.951126126126126,2.273617742745868,222
2016-06-06,2.395,2.9366509433962267,1.7340549445066107,212
2016-06-07,1.8,2.571761006289308,1.8964078416875867,159
2016-06-08,1.45,2.0419688109161793,1.9704907539811858,513
2016-06-09,1.39,2.369142857142857,2.3205622175070686,350
2016-06-10,1.56,2.379578713968958,2.1301950979797635,451
2016-06-11,1.44,2.175011086474501,1.9769632576502374,451
2016-06-12,3.93,3.832776617954071,2.3614972942852557,479
2016-06-13,2.525,3.1201492537313436,2.6542180885839732,134
2016-06-14,3.92,3.7320930232558136,2.017330341175276,43
2016-06-15,0.24,1.5669465648854963,2.4451517102263085,262
2016-06-16,2.35,3.080950570342205,2.9064112221438774,263
2016-06-17,1.36,2.505358361774744,2.5229094746001968,293
2016-06-18,0.015,0.015,0.005477225575051661,6
2016-06-19,0.03,0.09999999999999999,0.15832456116050556,7
2016-06-21,1.17,2.584967741935484,2.68780202149356,155
2016-06-22,5.5600000000000005,4.6762500000000005,2.7976129841511153,56
2016-06-23,1.47,2.400891719745223,2.0175328853152394,157
2016-06-24,4.625,4.519921875,2.248998901031424,128
2016-06-25,6.3,5.743333333333334,2.058604474140766,15
2016-06-26,2.23,2.9766486486486485,2.0982981227058475,185
2016-06-27,4.58,4.15975,2.3195628318218136,40
