date,rssi_raw,rssi_residual,rssi_ma7,rssi_delta,rssi_std7,link,lai_median,lai_mean,lai_std
2016-04-13,-62.44961240310077,1.9970280651460333,,,,10_to_1,,,
2016-04-14,-63.693910256410255,0.20051529269175009,,-1.244297853309483,,10_to_1,0.63,1.2899125364431487,1.5163559517622227
2016-04-15,-64.42465753424658,-0.06735347334615588,-63.52272673125253,-0.730747277836322,0.9985883370937938,10_to_1,2.12,3.3379036827195465,2.996458823233349
2016-04-16,-64.60135135135135,0.33733986047346515,-63.79238288627724,-0.17669381710477694,0.9775702254862954,10_to_1,0.42,2.326,3.0708602796517552
2016-04-17,-63.2327868852459,1.8393581191387094,-63.68046368607097,1.368564466105454,0.882814927485965,10_to_1,0.13,0.16,0.1061131471590584
2016-04-18,-63.49603174603175,0.41814455756428065,-63.649725029397764,-0.2632448607858464,0.7931954028094709,10_to_1,0.73,0.8452767527675277,0.763510785398954
2016-04-19,-65.73459715639811,-1.6243940738773526,-63.947563904683534,-2.2385654103663626,1.0701659179548508,10_to_1,,,
2016-04-20,-66.01550387596899,1.0338963732447615,-64.45697697223613,-0.2809067195708792,1.0868560056193795,10_to_1,0.675,0.8219325153374233,0.8780707567692628
2016-04-21,-62.392857142857146,1.6915701702778339,-64.27111224172855,3.622646733111843,1.3243889051567113,10_to_1,0.54,0.6057112526539279,0.4562869028628504
2016-04-22,-63.41208791208791,-0.8658377913403208,-64.12645943856303,-1.0192307692307665,1.3596513916213822,10_to_1,0.73,0.8722666666666666,0.897596751737947
2016-04-23,-65.61,-3.1949067337326342,-64.27055210265569,-2.197912087912087,1.467534374276999,10_to_1,2.52,3.034935779816513,2.566354211499825
2016-04-25,-65.5,1.1319828559159504,-64.5944396904777,0.10999999999999943,1.450414086684106,10_to_1,1.795,2.542313432835821,2.358520814497373
2016-04-29,-62.98106060606061,1.8365409558036594,-64.52087238476754,2.518939393939391,1.5264781445884141,10_to_1,0.89,1.3803061224489797,1.3587457030833665
2016-04-30,-61.642682926829266,3.6984680450458947,-63.93631320911485,1.3383776792313427,1.7511755042958814,10_to_1,0.91,1.0477966101694915,0.8155074859290492
2016-05-01,-61.84172661870504,3.071626128345708,-63.34005931522,-0.1990436918757723,1.6317333368115754,10_to_1,0.82,0.9769823788546256,0.7685765143487384
2016-05-02,-63.342287694974004,2.0761681851745255,-63.475692251236694,-1.5005610762689656,1.5784676668525344,10_to_1,0.8,1.1262897526501767,1.2432485341494337
2016-05-03,-63.804313099041536,-0.1251107281548995,-63.53172442080149,-0.462025404067532,1.582789203340301,10_to_1,4.52,3.8037272727272726,2.78925255834038
2016-05-04,-63.032710280373834,0.916986671779824,-63.16354017514061,0.7716028186677022,1.2917816012035164,10_to_1,0.945,1.6434649122807017,1.6720394373593066
2016-05-05,-60.39631782945737,4.567073486544678,-62.43444272220595,2.6363924509164676,1.1895091114533758,10_to_1,0.9,1.471212598425197,1.7237157091289197
2016-05-06,-60.534686971235196,4.915568533431217,-62.084960774373755,-0.13836914177782944,1.350611524258314,10_to_1,0.96,1.312749445676275,1.3367157020825842
2016-05-07,-60.235632183908045,5.857112107686603,-61.883953525384996,0.29905478732715096,1.5213200451592108,10_to_1,1.01,1.3977713178294573,1.522388476643367
2016-05-08,-60.52441229656419,5.424585748649994,-61.695765765079166,-0.28878011265614845,1.6065052592575346,10_to_1,1.23,1.800769230769231,1.8766640984758065
2016-05-09,-61.1924882629108,5.010769920179629,-61.38865156049871,-0.6680759663466063,1.435686521268445,10_to_1,1.475,2.1903370786516856,1.8719258673272663
2016-05-10,-61.65757042253521,4.421104891495622,-61.08197403528352,-0.4650821596244086,0.9954658606544033,10_to_1,1.21,1.8332675044883304,1.768112360287212
2016-05-11,-61.22549019607843,1.920940099908758,-60.82379973752703,0.432080226456776,0.531407077596255,10_to_1,2.01,2.5308116385911177,2.2871311328299577
2016-05-12,-61.94755877034358,3.7475259430399457,-61.045405586225066,-0.7220685742651511,0.636486502813952,10_to_1,1.47,2.1967291311754686,2.095999895759454
2016-05-13,-62.683035714285715,2.9740956962085705,-61.352312549518,-0.7354769439421318,0.8358973375358298,10_to_1,1.15,1.9595723014256616,2.0374476881644674
