2016-05-04_00:54:06 1462316046 0x5; 22 rTX 1
2016-05-04_00:54:06 1462316046 0x5; 22 rTX 2
2016-05-04_00:56:06 1462316166 0x5; 23 rTX 0
2016-05-04_00:58:02 1462316282 0x1; 24 rTX 0
2016-05-04_00:58:02 1462316282 0x1; 24 rTX 1
2016-05-04_00:58:02 1462316282 0x1; 24 rTX 2
2016-05-04_00:58:02 1462316282 0x1; 24 rTX 3
2016-05-04_00:58:06 1462316286 0x5; 24 rTX 0
2016-05-04_00:58:06 1462316286 0x5; 24 rTX 1
2016-05-04_01:02:02 1462316522 0x1; 26 rTX 0
2016-05-04_01:02:02 1462316522 0x1; 26 rTX 1
2016-05-04_01:02:02 1462316522 0x1; 26 rTX 2
2016-05-04_01:02:02 1462316522 0x1; 26 rTX 3
2016-05-04_01:04:03 1462316643 0x1; 27 rTX 0
2016-05-04_01:04:03 1462316643 0x1; 27 rTX 1
2016-05-04_01:04:03 1462316643 0x1; 27 rTX 2
2016-05-04_01:04:03 1462316643 0x1; 27 rTX 3
2016-05-04_01:04:06 1462316646 0x5; 27 rTX 0
2016-05-04_01:04:07 1462316647 0x6; 27 rTX 0
2016-05-04_01:04:07 1462316647 0x6; 27 rTX 1
2016-05-04_01:06:02 1462316762 0x1; 28 rTX 0
2016-05-04_01:06:02 1462316762 0x1; 28 rTX 1
2016-05-04_01:06:03 1462316763 0x2; 28 rTX 0
2016-05-04_01:06:03 1462316763 0x2; 28 rTX 1
2016-05-04_01:06:03 1462316763 0x2; 28 rTX 2
2016-05-04_01:06:03 1462316763 0x2; 28 rTX 3
2016-05-04_01:08:02 1462316882 0x1; 29 rTX 0
2016-05-04_01:08:02 1462316882 0x1; 29 rTX 1
2016-05-04_01:08:02 1462316882 0x1; 29 rTX 2
2016-05-04_01:08:03 1462316883 0x2; 29 rTX 0
2016-05-04_01:08:03 1462316883 0x2; 29 rTX 1
2016-05-04_01:08:03 1462316883 0x2; 29 rTX 2
2016-05-04_01:08:03 1462316883 0x2; 29 rTX 3
2016-05-04_01:10:02 1462317002 0x1; 30 rTX 0
2016-05-04_01:10:02 1462317002 0x1; 30 rTX 1
2016-05-04_01:10:03 1462317003 0x2; 30 rTX 0
2016-05-04_01:10:03 1462317003 0x2; 30 rTX 1
2016-05-04_01:10:03 1462317003 0x2; 30 rTX 2
2016-05-04_01:12:03 1462317123 0x2; 31 rTX 0
2016-05-04_01:12:03 1462317123 0x2; 31 rTX 1
2016-05-04_01:12:03 1462317123 0x2; 31 rTX 2
2016-05-04_01:14:07 1462317247 0x6; 32 rTX 0
2016-05-04_01:16:02 1462317362 0x1; 33 rTX 0
2016-05-04_01:16:02 1462317362 0x1; 33 rTX 1
2016-05-04_01:16:07 1462317367 0x6; 33 rTX 0
2016-05-04_01:16:07 1462317367 0x6; 33 rTX 1
2016-05-04_01:18:02 1462317482 0x1; 34 rTX 0
2016-05-04_01:18:07 1462317487 0x6; 34 rTX 0
2016-05-04_01:18:07 1462317487 0x6; 34 rTX 1
2016-05-04_01:20:06 1462317606 0x5; 35 rTX 0
2016-05-04_01:22:02 1462317722 0x1; 36 rTX 0
2016-05-04_01:22:02 1462317722 0x1; 36 rTX 1
2016-05-04_01:22:02 1462317722 0x1; 36 rTX 2
2016-05-04_01:22:02 1462317722 0x1; 36 rTX 3
2016-05-04_01:22:03 1462317723 0x1; 36 rTX 4
2016-05-04_01:22:03 1462317723 0x1; 36 rTX 5
2016-05-04_01:22:06 1462317726 0x5; 36 rTX 0
2016-05-04_01:22:07 1462317727 0x6; 36 rTX 0
2016-05-04_01:24:03 1462317843 0x1; 37 rTX 0
2016-05-04_01:24:03 1462317843 0x1; 37 rTX 1
2016-05-04_01:24:03 1462317843 0x1; 37 rTX 2
2016-05-04_01:24:03 1462317843 0x1; 37 rTX 3
2016-05-04_01:26:02 1462317962 0x1; 38 rTX 0
2016-05-04_01:26:03 1462317963 0x2; 38 rTX 0
2016-05-04_01:26:03 1462317963 0x2; 38 rTX 1
2016-05-04_01:26:03 1462317963 0x2; 38 rTX 2
2016-05-04_01:26:03 1462317963 0x2; 38 rTX 3
2016-05-04_01:28:03 1462318083 0x2; 39 rTX 0
2016-05-04_01:30:02 1462318202 0x1; 40 rTX 0
2016-05-04_01:30:02 1462318202 0x1; 40 rTX 1
2016-05-04_01:30:02 1462318202 0x1; 40 rTX 2
2016-05-04_01:30:03 1462318203 0x1; 40 rTX 3
2016-05-04_01:30:03 1462318203 0x1; 40 rTX 4
2016-05-04_01:30:06 1462318206 0x5; 40 rTX 0
2016-05-04_01:30:06 1462318206 0x5; 40 rTX 1
2016-05-04_01:30:06 1462318206 0x5; 40 rTX 2
2016-05-04_01:30:06 1462318206 0x5; 40 rTX 3
2016-05-04_01:30:07 1462318207 0x5; 40 rTX 4
