2016-05-07_10:32:59 1462609979 1:dd/6c;1:e1/6b;0:0/0;0:0/0; 571.55 1207.31 5.29
2016-05-07_10:48:45 1462610925 e/6c;1:dd/6b;0:0/0;20:d0/3d; 1185.16 1210.78 0.15
