2016-05-13_00:13:50 1463091230 0x8 49;2,2,2,1,2,2,2,2,0,2,0,4,2,2,1,3,2,4,2,0,2,2,3,2,1-15b4,50b-0:0/0;0:0/0;1:d2/47;1:d8/68;0:0/0;0:0/0;0:0/0;0:0/0;0:d3/43;0:0/0
2016-05-13_00:15:50 1463091350 0x8 50;2,0,0,1,2,2,0,1,1,2,1,1,0,0,0,1,1,1,5,2,2,4,0,0,2-15b2,50c-0:0/0;0:0/0;2:d2/47;0:d9/67;0:0/0;0:0/0;0:0/0;0:0/0;1:d3/43;0:0/0
2016-05-13_00:17:50 1463091470 0x8 51;2,2,0,1,2,1,2,2,1,2,4,2,2,0,5,1,3,2,1,0,3,3,4,3,2-15b1,50b-0:0/0;0:0/0;3:d2/47;0:d9/66;0:0/0;0:0/0;0:0/0;0:0/0;2:d3/43;0:0/0
2016-05-13_00:19:50 1463091590 0x8 52;2,2,4,4,2,2,1,2,2,0,0,0,1,2,2,1,4,3,4,1,3,2,2,0,0-15af,50b-0:0/0;0:0/0;4:d2/47;0:d9/65;0:0/0;0:0/0;0:0/0;0:0/0;3:d3/43;0:0/0
2016-05-13_00:21:50 1463091710 0x8 53;4,2,2,2,1,1,1,0,1,1,2,0,2,1,2,0,0,2,2,2,1,1,2,0,4-15ac,50b-0:0/0;0:0/0;5:d2/47;0:d9/68;0:0/0;0:0/0;0:0/0;0:0/0;0:d2/40;0:0/0
2016-05-13_00:23:50 1463091830 0x8 54;2,2,1,1,2,4,1,2,0,2,2,1,4,0,2,1,1,2,2,0,2,2,5,1,2-15ac,50b-0:0/0;0:0/0;6:d2/47;0:d8/66;0:0/0;0:0/0;0:0/0;0:0/0;1:d2/40;0:0/0
2016-05-13_00:25:50 1463091950 0x8 55;2,1,0,2,0,2,0,2,2,2,2,4,1,1,0,2,4,2,1,1,1,2,2,1,4-15aa,50a-0:0/0;0:0/0;7:d2/47;0:d8/66;0:0/0;0:0/0;0:0/0;0:0/0;2:d2/40;0:0/0
2016-05-13_00:27:50 1463092070 0x8 56;3,2,2,1,3,3,1,2,1,2,2,1,2,2,1,1,2,1,1,2,2,2,2,2,0-15a9,50a-0:0/0;0:0/0;8:d2/47;0:d8/65;0:0/0;0:0/0;0:0/0;0:0/0;3:d2/40;0:0/0
2016-05-13_00:29:50 1463092190 0x8 57;2,1,2,2,0,4,2,4,2,2,0,1,1,0,2,1,1,2,1,2,1,1,2,5,2-15a6,50a-0:0/0;0:0/0;9:d2/47;0:d9/67;0:0/0;0:0/0;0:0/0;0:0/0;4:d2/40;0:0/0
2016-05-13_00:31:50 1463092310 0x8 58;1,2,1,1,2,2,2,1,2,0,2,0,1,2,1,2,2,1,1,2,2,2,2,2,2-15a2,509-0:0/0;0:0/0;10:d2/47;0:d9/66;0:0/0;0:0/0;0:0/0;0:0/0;5:d2/40;0:0/0
