2016-05-06_13:14:37 1462533277 0x5; 325 rTX 6
2016-05-06_13:14:38 1462533278 0x5; 325 rTX 7
2016-05-06_13:14:40 1462533280 0x5; 325 rTX 8
2016-05-06_13:14:42 1462533282 0x5; 325 rTX 9
2016-05-06_13:14:47 1462533287 0x5; 325 rTX 10
2016-05-06_13:14:59 1462533299 0x5; 325 rTXERR
2016-05-06_13:16:37 1462533397 0x5; 326 rTX 0
2016-05-06_13:16:37 1462533397 0x5; 326 rTX 1
2016-05-06_13:16:37 1462533397 0x5; 326 rTX 2
2016-05-06_13:16:37 1462533397 0x5; 326 rTX 3
2016-05-06_13:16:37 1462533397 0x5; 326 rTX 4
2016-05-06_13:16:37 1462533397 0x5; 326 rTX 5
2016-05-06_13:16:38 1462533398 0x5; 326 rTX 6
2016-05-06_13:16:38 1462533398 0x5; 326 rTX 7
2016-05-06_13:16:40 1462533400 0x5; 326 rTX 8
2016-05-06_13:16:43 1462533403 0x5; 326 rTX 9
2016-05-06_13:16:47 1462533407 0x5; 326 rTX 10
2016-05-06_13:18:37 1462533517 0x5; 327 rTX 0
2016-05-06_13:18:37 1462533517 0x5; 327 rTX 1
2016-05-06_13:18:37 1462533517 0x5; 327 rTX 2
2016-05-06_13:18:37 1462533517 0x5; 327 rTX 3
2016-05-06_13:18:37 1462533517 0x5; 327 rTX 4
2016-05-06_13:18:37 1462533517 0x5; 327 rTX 5
2016-05-06_13:18:37 1462533517 0x5; 327 rTX 6
2016-05-06_13:18:38 1462533518 0x5; 327 rTX 7
2016-05-06_13:18:39 1462533519 0x5; 327 rTX 8
2016-05-06_13:18:41 1462533521 0x5; 327 rTX 9
2016-05-06_13:18:47 1462533527 0x5; 327 rTX 10
2016-05-06_13:18:58 1462533538 0x5; 327 rTXERR
2016-05-06_13:20:37 1462533637 0x5; 328 rTX 0
2016-05-06_13:20:37 1462533637 0x5; 328 rTX 1
2016-05-06_13:20:37 1462533637 0x5; 328 rTX 2
2016-05-06_13:20:37 1462533637 0x5; 328 rTX 3
2016-05-06_13:20:37 1462533637 0x5; 328 rTX 4
2016-05-06_13:20:37 1462533637 0x5; 328 rTX 5
2016-05-06_13:20:37 1462533637 0x5; 328 rTX 6
2016-05-06_13:20:38 1462533638 0x5; 328 rTX 7
2016-05-06_13:20:40 1462533640 0x5; 328 rTX 8
2016-05-06_13:20:43 1462533643 0x5; 328 rTX 9
2016-05-06_13:20:49 1462533649 0x5; 328 rTX 10
2016-05-06_13:21:03 1462533663 0x5; 328 rTXERR
2016-05-06_13:22:37 1462533757 0x5; 329 rTX 0
2016-05-06_13:22:37 1462533757 0x5; 329 rTX 1
2016-05-06_13:22:37 1462533757 0x5; 329 rTX 2
2016-05-06_13:22:37 1462533757 0x5; 329 rTX 3
2016-05-06_13:22:37 1462533757 0x5; 329 rTX 4
2016-05-06_13:22:37 1462533757 0x5; 329 rTX 5
2016-05-06_13:22:38 1462533758 0x5; 329 rTX 6
2016-05-06_13:22:38 1462533758 0x5; 329 rTX 7
2016-05-06_13:22:40 1462533760 0x5; 329 rTX 8
2016-05-06_13:22:43 1462533763 0x5; 329 rTX 9
2016-05-06_13:22:48 1462533768 0x5; 329 rTX 10
