2016-04-13_19:26:46 1460568406 0x9 35;34,35,36,35,35,36,36,33,34,35,35,34,35,34,34,35,34,35,32,33,36,35,34,35,36-1548,bcb-1:df/6c;1:df/6b;0:0/0;0:0/0;1:d3/5e;0:d3/66;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-13_19:36:50 1460569010 0x9 40; BOOT
2016-04-13_19:38:50 1460569130 0x9 40;2c,2c,2b,2b,2b,2b,2b,2b,2b,2b,2c,2c,2b,2b,2b,2b,2c,2b,2b,2c,2c,2b,2b,2b,2d-15dd,b51-0:dc/6b;0:da/6b;0:0/0;0:0/0;0:d2/52;0:d5/66;0:0/0;0:0/0;0:0/0;0:d3/5e
2016-04-13_19:40:50 1460569250 0x9 41;5b,59,59,5c,5b,5b,5b,5d,5c,5a,63,5b,5a,5a,5a,59,59,5a,5b,59,5b,5b,5b,5b,5e-15e7,b41-0:dd/6c;0:db/6b;0:0/0;0:0/0;0:da/69;0:dc/6b;0:0/0;0:0/0;0:0/0;0:d3/5c
2016-04-13_19:42:50 1460569370 0x9 42;33,37,37,37,37,37,37,37,35,37,37,37,36,36,37,36,2f,35,36,36,36,35,34,35,37-15eb,b37-0:e3/6c;0:e7/6c;0:0/0;0:0/0;0:d8/6b;0:e1/6b;0:0/0;0:0/0;0:0/0;0:e1/6a
2016-04-13_19:44:50 1460569490 0x9 43;50,4d,56,51,51,4b,53,4c,4f,4c,4e,4b,4d,4c,4d,46,50,50,4d,4d,4e,4f,50,4f,4f-15f2,b25-0:ea/6b;0:e9/6c;0:0/0;0:0/0;0:e9/6b;0:ea/6c;0:0/0;0:0/0;0:0/0;0:d4/5a
2016-04-13_19:46:50 1460569610 0x9 44;44,45,42,45,43,45,44,47,3e,3f,3f,40,3f,40,43,41,42,43,42,46,42,44,41,44,42-15e8,b0f-0:e7/6c;0:e9/6c;0:0/0;0:0/0;0:df/6b;0:e1/6c;0:0/0;0:0/0;0:0/0;0:d2/5f
2016-04-13_19:48:50 1460569730 0x9 45;33,33,2e,30,32,34,33,35,33,32,31,31,35,36,33,33,37,37,32,34,34,34,30,32,32-15de,afb-0:e0/6a;0:e2/6c;0:0/0;0:0/0;0:dd/6c;0:e1/6c;0:0/0;0:0/0;0:0/0;0:de/6a
2016-04-13_19:50:50 1460569850 0x9 46;41,3f,42,41,41,41,41,41,41,41,42,41,41,41,41,41,41,3f,40,40,3f,41,41,41,41-15d8,ae9-0:d7/69;0:df/6b;0:0/0;0:0/0;0:d9/68;0:df/6c;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_19:52:50 1460569970 0x9 47;38,3b,3b,3b,3a,3b,3a,3b,3b,3b,3b,3a,3b,3b,3b,3a,3b,3a,3b,3b,3b,3b,3a,3b,3c-15ce,ad7-0:d6/65;0:dd/6a;0:0/0;0:0/0;0:d7/6a;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_19:54:50 1460570090 0x9 48;34,34,35,35,31,2f,34,35,35,34,34,34,34,35,35,34,34,35,34,35,35,35,34,35,34-15c2,ac8-0:d5/65;0:dd/69;0:0/0;0:0/0;0:d7/66;0:dd/6c;0:0/0;0:0/0;0:0/0;0:da/6b
