2016-05-25_02:51:24 1464137484 0xB, 9 5 2.59 2.00-1.85
2016-05-25_02:53:24 1464137604 0xB, 9 6 2.03 1.84-0.73
2016-05-25_02:54:05 1464137645 0xB, A 1 1.76 1.56-0.85
2016-05-25_02:55:24 1464137724 0xB, 9 7 1.79 1.32-2.19
2016-05-25_02:56:05 1464137765 0xB, A 2 1.84 2.44 1.99
2016-05-25_02:57:24 1464137844 0xB, 9 8 2.48 1.60-3.10
2016-05-25_02:58:05 1464137885 0xB, A 3 1.88 1.75-0.46
2016-05-25_02:59:24 1464137964 0xB, 9 9 2.79 1.84-2.97
2016-05-25_03:00:05 1464138005 0xB, A 4 1.64 1.67 0.17
2016-05-25_03:01:24 1464138084 0xB, 9 10 2.48 1.88-1.96
2016-05-25_03:02:05 1464138125 0xB, A 5 1.79 1.51-1.19
2016-05-25_03:03:24 1464138204 0xB, 9 11 2.07 1.52-2.22
2016-05-25_03:04:05 1464138245 0xB, A 11 1.88 1.95 0.29
2016-05-25_03:05:24 1464138324 0xB, 9 12 2.00 2.24 0.80
2016-05-25_03:06:05 1464138365 0xB, A 12 1.39 2.44 3.93
2016-05-25_03:07:24 1464138444 0xB, 9 13 1.96 1.60-1.43
2016-05-25_03:08:05 1464138485 0xB, A 13 1.84 1.83-0.00
2016-05-25_03:09:24 1464138564 0xB, 9 14 2.00 1.44-2.32
2016-05-25_03:10:05 1464138605 0xB, A 14 1.96 1.67-1.09
2016-05-25_03:11:24 1464138684 0xB, 9 15 2.27 1.55-2.68
2016-05-25_03:12:05 1464138725 0xB, A 15 1.91 1.39-2.23
2016-05-25_03:13:24 1464138804 0xB, 9 16 1.91 1.48-1.84
2016-05-25_03:14:05 1464138845 0xB, A 16 1.91 1.87-0.14
2016-05-25_03:15:24 1464138924 0xB, 9 17 2.03 1.24-3.52
2016-05-25_03:16:05 1464138965 0xB, A 17 2.11 1.31-3.35
2016-05-25_03:17:24 1464139044 0xB, 9 18 2.52 1.79-2.38
