2016-06-21_03:17:05 1466471825 0x9, 1 7 1.72 0.12-18.85
2016-06-21_03:17:06 1466471826 0x9, 2 7 1.67 0.12-18.68
2016-06-21_03:17:09 1466471829 0x9, 5 7 1.91 0.12-19.63
2016-06-21_03:19:05 1466471945 0x9, 1 8 2.00 0.12-19.92
2016-06-21_03:19:06 1466471946 0x9, 2 8 1.72 0.12-18.85
2016-06-21_03:19:09 1466471949 0x9, 5 8 1.88 0.12-19.48
2016-06-21_03:21:05 1466472065 0x9, 1 9 1.20 2.31 4.66
2016-06-21_03:21:06 1466472066 0x9, 2 9 1.67 2.16 1.77
2016-06-21_03:23:05 1466472185 0x9, 1 10 2.44 2.16-0.86
2016-06-21_03:23:06 1466472186 0x9, 2 10 1.52 2.24 2.74
2016-06-21_03:23:09 1466472189 0x9, 5 10 1.96 2.48 1.66
2016-06-21_03:25:05 1466472305 0x9, 1 11 1.96 2.59 2.00
2016-06-21_03:25:06 1466472306 0x9, 2 11 1.36 2.24 3.53
2016-06-21_03:25:09 1466472309 0x9, 5 11 2.11 1.44-2.73
2016-06-21_03:27:05 1466472425 0x9, 1 12 2.00 2.64 1.96
2016-06-21_03:27:06 1466472426 0x9, 2 12 1.55 2.44 3.16
2016-06-21_03:27:09 1466472429 0x9, 5 12 1.96 1.79-0.60
2016-06-21_03:29:05 1466472545 0x9, 1 13 1.52 2.35 3.11
2016-06-21_03:29:06 1466472546 0x9, 2 13 1.24 2.31 4.43
2016-06-21_03:29:09 1466472549 0x9, 5 13 1.72 2.07 1.34
2016-06-21_03:31:05 1466472665 0x9, 1 14 1.72 2.20 1.74
2016-06-21_03:31:06 1466472666 0x9, 2 14 1.36 2.27 3.65
2016-06-21_03:31:09 1466472669 0x9, 5 14 1.88 2.48 1.96
2016-06-21_03:33:05 1466472785 0x9, 1 15 1.91 2.11 0.70
2016-06-21_03:33:06 1466472786 0x9, 2 15 1.67 2.24 2.03
2016-06-21_03:35:05 1466472905 0x9, 1 16 1.76 1.88 0.46
2016-06-21_03:35:06 1466472906 0x9, 2 16 1.27 2.03 3.30
2016-06-21_03:35:09 1466472909 0x9, 5 16 1.76 2.07 1.18
2016-06-21_03:37:05 1466473025 0x9, 1 17 1.91 2.35 1.46
2016-06-21_03:37:06 1466473026 0x9, 2 17 2.48 2.16-0.97
