2016-04-24_00:01:46 1461448906 0x9 638;1,2,2,1,2,3,0,3,2,0,3,1,3,0,1,5,4,2,2,3,1,1,2,0,0-11e6,99a-0:de/6a;0:df/69;0:0/0;0:0/0;0:db/69;0:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/69
2016-04-24_00:03:46 1461449026 0x9 639;2,0,0,3,3,2,2,3,2,2,9,2,2,2,0,3,1,4,2,2,2,1,3,2,0-11e2,99d-0:df/6b;0:e0/6b;0:0/0;0:0/0;0:db/6a;0:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6a
2016-04-24_00:05:46 1461449146 0x9 640;2,3,2,0,4,6,0,3,4,2,4,4,4,6,2,2,2,0,2,2,9,3,2,3,2-11db,99c-0:df/69;0:e0/6b;0:0/0;0:0/0;0:da/6a;0:e0/6b;0:0/0;0:0/0;0:0/0;2:dd/68
2016-04-24_00:07:46 1461449266 0x9 641;2,2,1,2,2,2,1,3,a,4,4,2,2,2,2,2,1,2,2,1,2,4,2,2,1-11d2,99b-0:de/6b;0:df/6a;0:0/0;0:0/0;0:dc/6b;0:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_00:09:46 1461449386 0x9 642;4,2,2,3,3,0,2,4,2,3,2,3,0,2,1,1,6,2,3,6,2,2,1,3,5-11ca,99a-0:de/6b;0:e0/6b;0:0/0;0:0/0;0:da/69;0:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/69
2016-04-24_00:11:46 1461449506 0x9 643;2,2,3,2,2,2,4,1,1,2,2,2,1,2,2,2,2,3,4,2,2,1,2,2,2-11c4,99b-0:df/6a;0:e1/6b;0:0/0;0:0/0;0:db/6a;0:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_00:13:46 1461449626 0x9 644;3,0,3,2,5,1,3,4,2,3,1,3,2,2,2,1,8,2,2,2,0,1,2,2,2-11c0,99c-0:df/69;0:e0/6b;0:0/0;0:0/0;0:da/69;0:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6a
2016-04-24_00:15:46 1461449746 0x9 645;1,1,3,3,1,3,2,2,2,4,4,3,0,2,2,2,2,6,2,2,3,1,1,0,4-11bb,99d-0:de/6c;0:e0/6b;0:0/0;0:0/0;0:db/6a;0:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_00:17:46 1461449866 0x9 646;3,2,2,1,3,1,2,1,1,2,0,3,2,1,2,4,3,2,0,1,2,5,3,0,2-11b6,99d-0:df/6c;0:e1/69;0:0/0;0:0/0;0:da/6a;0:e1/6b;0:0/0;0:0/0;0:0/0;2:de/69
2016-04-24_00:19:46 1461449986 0x9 647;2,3,2,3,2,3,3,5,2,2,1,2,2,6,2,2,3,3,0,2,1,2,1,2,2-11b0,99e-0:df/6b;0:e1/6c;0:0/0;0:0/0;0:da/67;0:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/69
2016-04-24_00:21:46 1461450106 0x9 648;2,1,2,0,2,3,3,3,3,2,4,2,0,2,2,3,2,1,2,2,6,5,0,2,3-11b0,99f-0:df/6c;0:e0/6b;0:0/0;0:0/0;0:db/6a;0:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/6a
2016-04-24_00:23:46 1461450226 0x9 649;2,0,3,2,2,2,2,1,0,2,2,1,2,2,2,2,2,9,2,4,3,2,2,b,1-11aa,99f-0:de/6b;0:e0/6b;0:0/0;0:0/0;0:da/69;0:e1/6c;0:0/0;0:0/0;0:0/0;3:dd/6a
2016-04-24_00:25:46 1461450346 0x9 650;2,4,2,3,2,2,3,3,2,3,3,2,2,2,2,0,3,0,2,2,1,2,3,1,2-11a6,9a0-0:de/69;0:e0/6b;0:0/0;0:0/0;0:db/69;0:e1/6c;0:0/0;0:0/0;0:0/0;4:dd/6a
2016-04-24_00:27:46 1461450466 0x9 651;2,3,1,3,3,2,6,3,5,2,2,1,b,1,3,3,0,1,4,2,3,0,2,2,2-11a0,99f-0:df/6b;0:df/6b;0:0/0;0:0/0;0:db/69;0:e1/6b;0:0/0;0:0/0;0:0/0;5:dd/6a
2016-04-24_00:29:46 1461450586 0x9 652;2,3,2,2,3,2,2,0,1,2,3,2,4,2,2,2,3,0,3,2,2,2,1,1,3-1199,99f-0:df/6b;0:e1/6a;0:0/0;0:0/0;0:da/69;0:e1/6c;0:0/0;0:0/0;0:0/0;6:dd/6a
2016-04-24_00:31:46 1461450706 0x9 653;0,2,3,2,1,3,2,2,0,3,6,2,0,2,2,5,0,1,3,1,2,5,0,3,0-1198,9a0-0:df/6b;0:e1/6b;0:0/0;0:0/0;0:db/6b;0:e1/6c;0:0/0;0:0/0;0:0/0;7:dd/6a
2016-04-24_00:33:46 1461450826 0x9 654;2,2,3,2,2,2,2,3,0,2,1,0,2,3,2,3,3,2,2,2,2,3,2,2,2-1198,9a2-0:df/6a;0:e1/6b;0:0/0;0:0/0;0:db/6b;0:e1/6b;0:0/0;0:0/0;0:0/0;8:dd/6a
2016-04-24_00:35:46 1461450946 0x9 655;2,1,2,2,0,2,1,1,2,2,3,0,1,1,2,1,0,1,2,2,2,4,2,3,3-1198,9a5-0:df/6b;0:e0/6c;0:0/0;0:0/0;0:db/69;0:e1/6c;0:0/0;0:0/0;0:0/0;9:dd/6a
2016-04-24_00:37:46 1461451066 0x9 656;2,2,3,5,2,2,2,3,1,0,3,0,2,2,2,1,4,2,2,2,0,2,0,0,2-1199,9a6-0:df/6b;0:e0/6b;0:0/0;0:0/0;0:db/69;0:e1/6c;0:0/0;0:0/0;0:0/0;10:dd/6a
2016-04-24_00:39:46 1461451186 0x9 657;3,2,2,2,0,2,3,0,1,2,2,1,2,4,3,0,2,2,2,2,5,2,3,4,2-1197,9a5-0:de/6b;0:e0/6b;0:0/0;0:0/0;0:db/69;0:e1/6a;0:0/0;0:0/0;0:0/0;11:dd/6a
2016-04-24_00:18:59 1461449939 0x9 1; BOOT
2016-04-24_00:20:59 1461450059 0x9 1;3,7,2,5,3,2,2,3,2,2,2,2,3,3,2,2,1,1,2,3,4,1,2,3,2-1060,b71-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_00:22:59 1461450179 0x9 2;2,2,2,5,2,2,2,3,3,5,3,2,1,2,3,3,3,2,3,3,0,1,6,0,3-108c,b5f-1:df/6b;1:e1/6c;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_00:24:59 1461450299 0x9 3;3,5,2,2,d,2,2,3,2,2,3,0,1,2,2,7,2,2,2,3,0,5,4,3,2-10a4,b51-1:df/6c;1:e1/6a;0:0/0;0:0/0;2:da/69;2:e0/6c;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_02:49:30 1461458970 0x9 4;3,2,2,2,3,3,3,2,2,3,2,2,1,2,2,1,2,2,2,3,2,2,2,2,2-10b2,b45-1:df/69;1:e0/6b;0:0/0;0:0/0;2:d9/69;2:e1/6b;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_02:51:30 1461459090 0x9 5;2,3,2,3,3,3,2,4,3,2,3,2,1,2,2,1,3,3,4,1,2,4,2,2,1-10c0,b37-1:df/69;1:e1/6b;0:0/0;0:0/0;2:d9/65;2:e1/6c;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_02:53:30 1461459210 0x9 6;4,2,1,2,2,2,2,2,2,3,2,0,2,2,3,3,1,0,2,2,1,2,2,3,2-10cc,b27-1:df/6b;1:e1/6c;0:0/0;0:0/0;2:d9/69;2:e1/6b;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_02:55:30 1461459330 0x9 7;6,6,5,3,3,1,9,2,2,3,4,1,6,2,4,3,2,3,3,1,1,0,2,0,0-10d0,b15-1:df/6a;1:e1/6b;0:0/0;0:0/0;2:d9/68;2:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_02:57:30 1461459450 0x9 8;3,2,3,5,3,3,2,1,0,2,0,2,0,5,2,1,2,0,2,5,2,5,2,3,3-10d0,b03-1:df/6b;1:e1/6a;0:0/0;0:0/0;2:d9/69;2:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_02:59:30 1461459570 0x9 9;3,3,0,3,2,1,2,0,3,2,2,3,2,2,5,2,2,0,2,0,3,6,3,3,2-10ce,aef-2:df/6b;2:e1/6a;0:0/0;0:0/0;2:d9/69;2:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_03:01:30 1461459690 0x9 10;2,2,0,5,2,2,3,2,3,2,2,1,3,6,5,2,0,2,0,2,2,1,3,2,6-10d2,adc-3:df/6b;3:e1/6a;0:0/0;0:0/0;3:d9/69;3:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6a
2016-04-24_03:03:30 1461459810 0x9 11;2,4,2,2,3,2,3,1,2,2,0,2,2,2,3,2,2,0,0,1,2,3,2,3,3-10d6,acb-4:df/6b;4:e1/6a;0:0/0;0:0/0;4:d9/69;4:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6a
2016-04-24_03:05:30 1461459930 0x9 12;4,2,0,4,1,3,3,2,3,3,5,2,0,0,1,0,2,2,6,2,2,1,0,0,5-10d2,aba-1:df/6b;1:e0/6b;0:0/0;0:0/0;1:d9/6b;1:e1/69;0:0/0;0:0/0;0:0/0;2:dd/6a
2016-04-24_03:07:30 1461460050 0x9 13;2,0,2,5,2,2,1,2,3,2,3,2,3,3,1,3,6,2,2,5,0,3,2,5,3-10d1,aab-1:df/6c;1:e1/6c;0:0/0;0:0/0;1:d9/6a;1:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_03:09:30 1461460170 0x9 14;2,2,1,8,2,2,0,6,6,2,2,3,2,3,0,2,2,2,2,3,2,2,3,2,2-10cc,a9d-1:df/6b;1:e0/6c;0:0/0;0:0/0;1:d9/69;1:e1/6a;0:0/0;0:0/0;0:0/0;2:dd/6a
2016-04-24_03:11:30 1461460290 0x9 15;3,2,2,2,5,2,2,3,3,2,4,2,2,2,2,2,1,2,0,2,3,2,6,3,2-10c6,a8e-1:df/6b;1:e1/6a;0:0/0;0:0/0;1:da/6a;1:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/68
2016-04-24_03:13:30 1461460410 0x9 16;2,7,2,3,1,2,2,8,3,2,2,2,2,2,2,2,2,4,3,0,2,1,3,2,1-10c8,a81-1:df/6a;1:e1/6b;0:0/0;0:0/0;1:da/68;1:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/6a
2016-04-24_03:15:30 1461460530 0x9 17;4,4,0,3,2,2,4,2,3,4,3,3,0,2,2,0,1,4,2,2,1,2,2,0,2-10cb,a76-1:df/6c;1:e1/6b;0:0/0;0:0/0;1:d9/68;1:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_03:17:30 1461460650 0x9 18;3,2,3,2,4,2,4,8,3,3,2,3,1,3,2,0,3,0,1,0,2,2,2,2,2-10ca,a6b-1:df/6a;1:e1/6a;0:0/0;0:0/0;1:da/67;1:e0/6a;0:0/0;0:0/0;0:0/0;2:dd/69
2016-04-24_03:19:30 1461460770 0x9 19;2,2,0,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,0,1,2,3,2-10c7,a61-1:df/6b;1:e1/6b;0:0/0;0:0/0;1:d9/67;1:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6a
2016-04-24_03:21:30 1461460890 0x9 20;5,1,a,2,4,2,0,2,0,2,2,2,3,2,3,2,2,2,3,3,2,2,3,3,2-10cc,a5b-1:df/6a;1:e1/6a;0:0/0;0:0/0;1:d9/6a;1:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/68
2016-04-24_03:23:30 1461461010 0x9 21;2,2,2,1,3,2,2,4,0,2,2,2,2,0,3,1,2,1,2,3,2,5,3,3,5-10ce,a53-1:df/68;1:e1/6b;0:0/0;0:0/0;1:da/69;1:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_03:25:30 1461461130 0x9 22;3,2,3,5,3,0,2,3,2,2,2,0,2,0,3,2,2,3,1,2,0,0,2,6,2-10ce,a4b-1:df/6b;1:e1/6a;0:0/0;0:0/0;1:d9/66;1:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_03:27:30 1461461250 0x9 23;0,3,1,0,2,2,2,3,3,6,2,0,2,3,2,2,2,5,0,5,2,3,2,4,0-10d0,a45-1:df/6b;1:e1/6b;0:0/0;0:0/0;1:d9/69;1:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/69
2016-04-24_03:29:30 1461461370 0x9 24;5,3,2,2,3,3,5,2,2,1,2,2,1,2,3,5,2,2,2,3,3,2,2,2,2-10d4,a40-1:df/69;1:e0/6c;0:0/0;0:0/0;1:da/69;1:e1/6a;0:0/0;0:0/0;0:0/0;2:dd/69
2016-04-24_03:31:30 1461461490 0x9 25;2,5,5,6,3,4,0,2,2,3,0,3,2,2,2,2,2,3,1,2,6,2,3,3,3-10d6,a3a-1:df/6a;1:e1/6c;0:0/0;0:0/0;1:d9/66;1:e1/6b;0:0/0;0:0/0;0:0/0;2:dd/6a
2016-04-24_03:33:30 1461461610 0x9 26;1,2,2,6,6,2,1,2,3,2,2,2,2,2,2,3,3,7,3,5,4,3,2,2,2-10dc,a36-1:de/6a;1:e1/6a;0:0/0;0:0/0;1:da/67;1:e1/6a;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_03:35:30 1461461730 0x9 27;3,2,4,2,2,2,2,1,1,0,2,3,2,3,2,3,3,1,3,4,3,1,0,2,2-10dc,a31-1:de/6b;1:e1/6b;0:0/0;0:0/0;1:d9/67;1:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_03:37:30 1461461850 0x9 28;2,2,2,1,2,2,1,2,2,2,0,2,2,2,2,6,2,3,6,2,2,5,2,1,2-10de,a2c-1:df/6b;1:e1/68;0:0/0;0:0/0;1:d9/67;1:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/6b
2016-04-24_03:39:30 1461461970 0x9 29;4,1,1,6,3,1,0,1,3,2,6,6,2,2,2,2,2,3,2,2,3,2,3,2,3-10e2,a27-2:df/6b;2:e1/68;0:0/0;0:0/0;2:d9/67;2:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/6a
2016-04-24_03:41:30 1461462090 0x9 30;1,2,3,6,2,4,3,3,1,1,2,2,3,3,2,2,1,4,2,2,2,3,5,0,2-10df,a20-3:df/6b;3:e1/68;0:0/0;0:0/0;3:d9/67;3:e1/6c;0:0/0;0:0/0;0:0/0;2:dd/6b
