13 Apr 23:55:51 ntpdate[2384]: no server suitable for synchronization found
17 Apr 04:59:20 ntpdate[2381]: step time server 192.168.1.1 offset 19.166859 sec
17 Apr 05:59:04 ntpdate[2387]: no server suitable for synchronization found
17 Apr 06:39:41 ntpdate[2384]: step time server 192.168.1.1 offset 40.107671 sec
17 Apr 07:19:24 ntpdate[2378]: step time server 192.168.1.1 offset 20.053792 sec
17 Apr 07:39:24 ntpdate[2376]: step time server 192.168.1.1 offset 19.739698 sec
17 Apr 07:59:12 ntpdate[2385]: step time server 192.168.1.1 offset 21.385035 sec
17 Apr 08:19:14 ntpdate[2378]: step time server 192.168.1.1 offset 21.149996 sec
17 Apr 08:59:23 ntpdate[2379]: step time server 192.168.1.1 offset 19.425626 sec
17 Apr 09:19:22 ntpdate[2385]: step time server 192.168.1.1 offset 20.250269 sec
17 Apr 09:59:21 ntpdate[2377]: step time server 192.168.1.1 offset 19.412194 sec
17 Apr 10:39:20 ntpdate[2384]: step time server 192.168.1.1 offset 20.151072 sec
17 Apr 10:59:21 ntpdate[2381]: step time server 192.168.1.1 offset 20.151259 sec
17 Apr 11:39:20 ntpdate[2389]: step time server 192.168.1.1 offset 19.458258 sec
17 Apr 12:19:20 ntpdate[2381]: step time server 192.168.1.1 offset 19.643532 sec
17 Apr 23:55:49 ntpdate[2379]: no server suitable for synchronization found
18 Apr 03:39:37 ntpdate[2386]: step time server 192.168.1.1 offset 9876.766526 sec
18 Apr 06:41:43 ntpdate[2386]: step time server 192.168.1.1 offset 22.651702 sec
18 Apr 07:22:31 ntpdate[2398]: step time server 192.168.1.1 offset 20.418836 sec
18 Apr 08:02:18 ntpdate[2384]: step time server 192.168.1.1 offset 19.969942 sec
18 Apr 09:22:21 ntpdate[2382]: step time server 192.168.1.1 offset 20.912338 sec
18 Apr 10:02:24 ntpdate[2379]: step time server 192.168.1.1 offset 20.686800 sec
18 Apr 10:42:21 ntpdate[2391]: step time server 192.168.1.1 offset 19.969723 sec
18 Apr 11:42:21 ntpdate[2388]: step time server 192.168.1.1 offset 20.369530 sec
18 Apr 12:22:20 ntpdate[2387]: step time server 192.168.1.1 offset 19.834300 sec
19 Apr 05:28:34 ntpdate[9884]: step time server 192.168.1.1 offset 9882.245840 sec
25 Apr 06:08:11 ntpdate[2634]: the NTP socket is in use, exiting
30 Apr 11:37:01 ntpdate[3308]: step time server 192.168.1.1 offset 9058.654444 sec
