2016-05-26_03:41:16 1464226876 0x7 29;5,2,3,0,4,3,0,1,4,2,2,0,0,2,2,2,3,2,2,2,4,2,2,2,0-1550,a4b-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6c;1:d2/46;0:0/0
2016-05-26_03:42:52 1464226972 0x7 30;3,2,2,2,1,2,0,3,0,3,2,0,1,2,2,2,2,2,2,2,2,1,2,1,3-1551,a3c-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/6a;2:d2/46;0:0/0
2016-05-26_03:44:52 1464227092 0x7 31;2,3,2,2,3,3,2,2,2,3,5,1,2,2,3,1,0,2,2,2,2,2,0,2,0-1552,a2d-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/6a;0:d2/4b;0:0/0
2016-05-26_03:46:52 1464227212 0x7 32;1,2,2,0,2,2,0,0,3,1,3,2,1,2,2,1,2,5,1,0,3,3,2,3,2-1552,a1f-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/6a;0:d2/4c;0:0/0
2016-05-26_03:48:52 1464227332 0x7 33;2,2,2,2,2,0,2,2,3,2,3,2,2,2,2,2,1,2,2,3,0,2,0,2,1-1552,a13-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6a;0:d2/4f;0:0/0
2016-05-26_03:50:52 1464227452 0x7 34;3,2,3,2,3,1,2,2,2,2,1,0,2,2,2,3,0,1,3,0,4,0,2,2,2-1552,a08-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6b;0:d2/50;0:0/0
2016-05-26_03:52:52 1464227572 0x7 35;1,5,2,1,2,2,5,2,3,4,2,5,0,3,2,4,2,2,1,0,2,2,2,2,2-1552,a01-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6c;0:d2/4a;0:0/0
2016-05-26_03:54:52 1464227692 0x7 36;2,2,2,1,2,1,2,2,0,0,0,2,2,2,1,0,2,0,2,2,0,2,2,4,2-1555,9fd-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:b/6b;0:d2/4f;0:0/0
2016-05-26_03:56:52 1464227812 0x7 37;3,2,0,2,5,1,4,2,4,1,2,4,2,1,4,1,2,2,0,2,2,5,2,2,2-1555,9f6-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/69;1:d2/4f;0:0/0
2016-05-26_03:58:52 1464227932 0x7 38;3,5,1,2,2,4,2,2,2,2,2,2,2,5,4,2,2,2,2,1,3,2,2,1,2-1555,9ef-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/6a;0:d2/4a;0:0/0
2016-05-26_04:00:52 1464228052 0x7 39;2,2,2,2,1,0,0,3,4,5,2,3,4,2,2,2,2,2,2,2,2,2,0,2,1-1555,9e8-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/67;0:d2/4b;0:0/0
2016-05-26_04:02:52 1464228172 0x7 40;2,2,2,3,0,1,3,5,2,4,2,2,5,4,2,2,0,2,3,4,2,2,2,2,2-1554,9e0-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:b/68;0:d2/50;0:0/0
2016-05-26_04:04:52 1464228292 0x7 41;5,3,1,2,3,4,0,2,3,0,2,2,1,4,2,1,1,2,5,2,2,1,5,0,2-1552,9d9-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/69;0:d2/4f;0:0/0
2016-05-26_04:06:52 1464228412 0x7 42;2,1,2,2,3,0,2,2,6,1,2,1,1,0,4,0,2,2,2,3,6,2,2,2,1-1551,9d3-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6b;0:d2/4f;0:0/0
2016-05-26_04:08:52 1464228532 0x7 43;2,2,2,2,1,1,2,1,0,2,5,0,3,2,5,2,3,4,2,2,0,3,2,3,1-1550,9ce-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/6b;1:d2/4f;0:0/0
2016-05-26_04:10:52 1464228652 0x7 44;2,0,2,6,2,4,2,2,2,1,3,2,6,2,2,2,0,2,2,2,0,2,3,5,2-154e,9c7-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/68;2:d2/4f;0:0/0
2016-05-26_04:12:52 1464228772 0x7 45;2,2,5,2,5,5,2,5,1,2,2,1,2,1,2,2,1,0,1,2,5,2,2,2,1-154d,9c4-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6a;0:d2/4e;0:0/0
2016-05-26_04:14:52 1464228892 0x7 46;6,4,3,2,1,3,3,0,1,3,2,3,2,4,4,0,3,6,2,1,0,2,5,2,0-154d,9c2-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6a;1:d2/4e;0:0/0
2016-05-26_04:16:52 1464229012 0x7 47;4,5,2,1,5,1,0,2,2,2,2,2,1,2,2,0,2,3,2,2,0,2,5,1,2-154c,9c2-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/6b;2:d2/4e;0:0/0
2016-05-26_04:18:52 1464229132 0x7 48;4,6,2,2,2,2,2,2,6,2,2,2,2,2,2,1,2,2,1,1,5,0,1,2,2-154e,9bf-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:b/6c;3:d2/4e;0:0/0
2016-05-26_04:20:52 1464229252 0x7 49;2,2,2,2,2,2,3,3,2,1,1,2,0,0,1,5,2,4,2,0,1,2,4,4,2-154e,9bd-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6b;0:d2/4f;0:0/0
2016-05-26_04:22:52 1464229372 0x7 50;2,0,2,2,2,0,5,2,2,1,0,2,6,5,0,2,1,2,3,1,1,2,4,2,2-1550,9b8-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/69;1:d2/4f;0:0/0
2016-05-26_04:24:52 1464229492 0x7 51;3,2,1,5,2,1,3,0,3,2,2,0,2,2,2,1,2,2,0,4,2,2,2,4,1-1552,9b3-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/6b;2:d2/4f;0:0/0
2016-05-26_04:26:52 1464229612 0x7 52;2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,0,0,4,2,2-1556,9b4-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6a;0:d2/46;0:0/0
2016-05-26_04:28:52 1464229732 0x7 53;1,2,3,2,2,2,2,2,2,2,0,1,1,1,2,2,2,2,4,2,1,2,2,2,2-1559,9b5-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6c;1:d2/46;0:0/0
2016-05-26_04:30:52 1464229852 0x7 54;0,2,2,2,3,0,2,2,3,3,2,4,0,4,3,3,0,0,2,2,2,2,2,2,2-155d,9b2-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/6b;0:d2/4f;0:0/0
2016-05-26_04:32:52 1464229972 0x7 55;2,2,2,0,2,2,2,2,3,2,0,1,2,1,2,2,2,4,0,0,2,6,0,4,3-1560,9b0-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:b/6c;0:d2/4d;0:0/0
2016-05-26_04:34:52 1464230092 0x7 56;2,2,3,3,3,2,4,2,2,3,1,2,3,2,2,2,6,1,2,2,2,2,3,2,3-1560,9ae-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6c;1:d2/4d;0:0/0
2016-05-26_04:36:52 1464230212 0x7 57;2,2,2,7,2,2,2,2,1,2,4,3,2,1,2,3,8,2,3,3,2,8,2,1,2-1564,9ab-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6b;0:d2/51;0:0/0
2016-05-26_04:38:52 1464230332 0x7 58;1,2,0,2,0,2,4,2,0,2,3,3,2,7,2,2,2,3,2,2,2,3,2,3,1-1564,9aa-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6a;1:d2/51;0:0/0
2016-05-26_04:40:52 1464230452 0x7 59;4,0,3,5,6,1,2,3,0,3,2,2,3,7,2,3,1,6,2,2,0,3,2,2,2-1566,9a9-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6a;0:d2/56;0:0/0
2016-05-26_04:42:52 1464230572 0x7 60;2,2,3,3,3,3,4,2,4,1,3,0,0,1,3,4,2,2,3,2,2,2,4,2,3-1568,9a8-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6b;0:d2/55;0:0/0
2016-05-26_04:44:52 1464230692 0x7 61;1,3,2,3,0,2,3,1,4,3,3,1,3,3,7,2,1,6,3,1,2,3,2,2,2-156b,9a6-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:b/6c;1:d2/55;0:0/0
2016-05-26_04:46:52 1464230812 0x7 62;3,2,3,2,2,2,3,0,1,0,0,2,3,0,2,2,3,0,5,3,6,2,2,3,3-156e,9a5-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/6c;0:d2/49;0:0/0
2016-05-26_04:48:52 1464230932 0x7 63;3,3,3,3,3,2,3,2,3,3,3,3,3,4,2,3,3,2,3,2,3,3,3,3,2-1570,9a4-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6b;0:d2/54;0:0/0
2016-05-26_04:50:52 1464231052 0x7 64;1,2,2,4,3,2,3,3,3,2,2,3,3,3,1,2,3,3,2,4,2,2,3,3,3-1572,9a2-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6a;1:d2/54;0:0/0
2016-05-26_04:52:52 1464231172 0x7 65;3,2,3,3,2,2,3,3,3,3,3,5,5,3,2,1,3,3,2,3,3,0,3,3,5-1572,99e-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:a/6c;0:d2/51;0:0/0
2016-05-26_04:54:52 1464231292 0x7 66;4,3,3,3,3,3,3,3,5,0,4,5,3,3,4,3,3,2,3,4,5,3,2,6,3-1572,99b-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:9/6a;1:d2/51;0:0/0
2016-05-26_04:56:52 1464231412 0x7 67;7,0,3,3,3,3,4,6,3,3,2,4,4,2,5,2,3,4,3,5,6,6,6,3,0-1573,99a-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/69;0:d2/4c;0:0/0
2016-05-26_04:58:52 1464231532 0x7 68;1,0,4,4,4,7,4,3,3,4,5,3,2,3,4,4,6,4,3,8,4,4,4,4,5-1576,999-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;1:8/6b;1:d2/4c;0:0/0
