2016-05-24_03:27:32 1464053252 0x1 22;2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2-1724,a37-0:0/0;1:0/6a;0:0/0;0:0/0;1:ef/6b;1:ef/69;0:0/0;0:0/0;0:d3/5a;0:0/0
2016-05-24_03:29:32 1464053372 0x1 23;1,3,1,1,0,1,2,1,3,2,2,0,0,0,2,1,2,1,1,2,1,2,0,1,0-1722,a2e-0:0/0;1:0/6b;0:0/0;0:0/0;1:ef/6c;1:ef/69;0:0/0;0:0/0;0:d3/50;0:0/0
2016-05-24_03:31:32 1464053492 0x1 24;2,1,2,0,1,1,1,2,0,2,1,2,2,3,0,3,2,1,2,2,1,1,1,2,1-171f,a27-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:f1/6a;0:0/0;0:0/0;0:d4/5f;0:0/0
2016-05-24_03:33:32 1464053612 0x1 25;2,2,2,1,2,2,2,0,1,1,1,2,2,8,2,2,4,2,3,4,4,2,1,2,0-1719,a22-0:0/0;1:0/6c;0:0/0;0:0/0;1:ee/6c;1:ee/6a;0:0/0;0:0/0;0:d5/5f;0:0/0
2016-05-24_03:35:32 1464053732 0x1 26;4,1,2,1,2,1,1,3,0,2,2,2,2,0,2,5,2,2,2,2,0,2,1,2,1-171a,a23-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6b;1:f0/6b;0:0/0;0:0/0;0:d4/5b;0:0/0
2016-05-24_03:37:32 1464053852 0x1 27;2,2,1,3,2,1,3,1,3,1,2,2,1,1,2,1,0,6,3,2,1,1,2,2,1-171a,a25-0:0/0;1:0/6a;0:0/0;0:0/0;1:ef/6b;1:ee/6a;0:0/0;0:0/0;0:d4/5d;0:0/0
2016-05-24_03:39:32 1464053972 0x1 28;1,3,2,4,2,2,1,1,2,1,2,1,2,2,0,2,2,1,0,1,1,2,4,3,2-171a,a22-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6a;1:ef/6a;0:0/0;0:0/0;0:d4/5b;0:0/0
2016-05-24_03:41:32 1464054092 0x1 29;1,1,2,1,1,1,0,2,2,0,1,2,3,1,2,1,3,1,0,4,2,2,1,2,2-1714,a1a-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6c;1:ef/69;0:0/0;0:0/0;0:d4/55;0:0/0
2016-05-24_03:43:32 1464054212 0x1 30;2,1,2,1,2,2,2,1,2,2,1,2,0,2,2,0,1,1,2,0,0,2,0,2,1-1710,a18-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6c;1:f0/6b;0:0/0;0:0/0;0:d5/63;0:0/0
2016-05-24_03:45:32 1464054332 0x1 31;2,0,2,2,3,1,5,2,1,3,2,3,3,2,0,2,0,2,2,2,2,0,2,2,3-1708,a15-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:f0/6a;0:0/0;0:0/0;0:d5/61;0:0/0
2016-05-24_03:47:32 1464054452 0x1 32;2,1,4,2,3,1,0,2,2,2,4,2,1,2,0,0,2,4,1,1,3,2,0,2,0-1704,a17-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:ef/6a;0:0/0;0:0/0;0:d4/60;0:0/0
2016-05-24_03:49:32 1464054572 0x1 33;0,3,1,1,2,2,1,1,1,1,3,4,0,2,1,2,0,2,2,3,3,3,2,3,4-1703,a19-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6c;1:ef/69;0:0/0;0:0/0;0:d4/62;0:0/0
2016-05-24_03:51:32 1464054692 0x1 34;2,1,3,2,0,2,2,2,1,4,5,2,1,2,1,2,2,1,2,2,1,2,2,1,1-1701,a19-0:0/0;1:0/6b;0:0/0;0:0/0;1:ed/6b;1:ef/6a;0:0/0;0:0/0;0:d4/52;0:0/0
2016-05-24_03:53:32 1464054812 0x1 35;1,2,2,3,2,3,2,3,3,3,0,2,1,2,1,2,0,2,2,2,2,1,1,2,4-1700,a17-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6b;1:ef/6b;0:0/0;0:0/0;0:d4/5e;0:0/0
2016-05-24_03:55:32 1464054932 0x1 36;2,2,1,3,1,2,2,0,1,1,4,1,4,2,2,0,2,1,0,3,4,1,2,1,4-16fa,a13-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:f0/67;0:0/0;0:0/0;0:d4/5a;0:0/0
2016-05-24_03:57:32 1464055052 0x1 37;7,1,1,2,1,0,1,1,2,1,2,2,2,2,2,0,2,1,2,1,1,2,1,2,4-16f0,a0d-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:ef/6a;0:0/0;0:0/0;0:d4/63;0:0/0
2016-05-24_03:59:32 1464055172 0x1 38;3,0,2,2,2,1,0,3,0,2,1,2,4,2,5,1,1,1,2,1,2,2,4,1,1-16e7,a0b-0:0/0;1:0/69;0:0/0;0:0/0;1:ef/6b;1:f0/69;0:0/0;0:0/0;0:d5/63;0:0/0
2016-05-24_04:01:32 1464055292 0x1 39;1,2,1,0,2,0,5,0,0,1,1,0,0,2,1,2,5,2,5,0,1,1,2,0,2-16e0,a0e-0:0/0;1:0/6b;0:0/0;0:0/0;1:ef/67;1:ef/6b;0:0/0;0:0/0;0:d4/5f;0:0/0
2016-05-24_04:03:32 1464055412 0x1 40;1,5,2,1,2,2,2,1,0,1,2,0,1,0,a,2,2,2,c,0,0,2,1,0,2-16db,a0f-0:0/0;1:0/6b;0:0/0;0:0/0;1:ef/6a;1:f0/6b;0:0/0;0:0/0;0:d5/62;0:0/0
