2016-04-18_02:53:16 1460940796 0xB, 9 6 2.16 1.60-2.12
2016-04-18_02:54:43 1460940883 0xB, A 5 1.44 1.83 1.73
2016-04-18_02:55:16 1460940916 0xB, 9 7 2.35 1.52-3.11
2016-04-18_02:56:43 1460941003 0xB, A 6 1.60 1.67 0.34
2016-04-18_02:57:16 1460941036 0xB, 9 8 2.40 1.79-2.03
2016-04-18_02:58:43 1460941123 0xB, A 7 1.88 1.87-0.00
2016-04-18_02:59:16 1460941156 0xB, 9 9 2.03 1.88-0.57
2016-04-18_03:00:43 1460941243 0xB, A 8 1.72 1.39-1.45
2016-04-18_03:01:16 1460941276 0xB, 9 10 2.24 1.52-2.74
2016-04-18_03:02:43 1460941363 0xB, A 9 2.03 1.75-1.04
2016-04-18_03:03:16 1460941396 0xB, 9 11 2.11 1.48-2.54
2016-04-18_03:04:43 1460941483 0xB, A 10 1.72 1.87 0.62
2016-04-18_03:05:16 1460941516 0xB, 9 12 2.00 1.60-1.58
2016-04-18_03:06:43 1460941603 0xB, A 11 1.48 1.56 0.37
2016-04-18_03:07:16 1460941636 0xB, 9 13 2.52 2.48-0.11
2016-04-18_03:09:17 1460941757 0xB, A 120xB 12;87-0:0/0;0:0/0;0:0/0;0:0/0;00xB, 9 14 2.31 1.64-2.45
2016-04-18_03:10:43 1460941843 0xB, A 13 1.72 1.63-0.33
2016-04-18_03:11:16 1460941876 0xB, 9 15 1.67 1.79 0.48
2016-04-18_03:12:43 1460941963 0xB, A 14 1.55 1.79 1.01
2016-04-18_03:13:16 1460941996 0xB, 9 16 2.59 2.03-1.71
2016-04-18_03:14:43 1460942083 0xB, A 15 1.84 1.51-1.35
2016-04-18_03:15:16 1460942116 0xB, 9 17 2.35 1.55-2.93
2016-04-18_03:16:43 1460942203 0xB, A 16 1.76 1.75-0.00
2016-04-18_03:17:16 1460942236 0xB, 9 18 2.40 1.72-2.35
2016-04-18_03:18:43 1460942323 0xB, A 17 2.31 1.72-2.11
2016-04-18_03:19:16 1460942356 0xB, 9 19 2.76 1.64-3.68
2016-04-18_03:20:43 1460942443 0xB, A 18 1.96 1.35-2.58
2016-04-18_03:23:17 1460942597 0xB, 9 200xB, A 192,1,1,2,2,2,2,3,3,1,1,0,2,0,0xB, 9 21 2.35 2.20-0.49
2016-04-18_03:24:43 1460942683 0xB, A 20 1.27 1.87 2.72
2016-04-18_03:25:16 1460942716 0xB, 9 22 1.91 1.52-1.65
2016-04-18_03:26:43 1460942803 0xB, A 21 1.79 1.91 0.45
