2016-06-10_03:04:53 1465520693 0x9, 1 1 1.72 2.31 2.11
2016-06-10_03:04:54 1465520694 0x9, 2 1 1.76 2.11 1.31
2016-06-10_03:04:57 1465520697 0x9, 5 1 1.96 1.76-0.76
2016-06-10_03:04:58 1465520698 0x9, 6 1 1.88 2.07 0.71
2016-06-10_03:06:53 1465520813 0x9, 1 2 1.39 1.84 1.93
2016-06-10_03:06:54 1465520814 0x9, 2 2 2.44 1.88-1.84
2016-06-10_03:06:57 1465520817 0x9, 5 2 1.96 2.76 2.42
2016-06-10_03:06:58 1465520818 0x9, 6 2 1.67 2.20 1.90
2016-06-10_03:07:00 1465520820 0x9, 7 3 2.24 2.27 0.12
2016-06-10_03:08:53 1465520933 0x9, 1 3 2.20 1.67-1.90
2016-06-10_03:08:54 1465520934 0x9, 2 3 1.72 2.03 1.20
2016-06-10_03:08:57 1465520937 0x9, 5 3 2.03 1.72-1.20
2016-06-10_03:08:58 1465520938 0x9, 6 3 1.60 2.24 2.38
2016-06-10_03:09:00 1465520940 0x9, 7 4 2.07 1.96-0.42
2016-06-10_03:10:53 1465521053 0x9, 1 4 1.64 2.52 3.04
2016-06-10_03:10:54 1465521054 0x9, 2 4 1.60 2.64 3.54
2016-06-10_03:10:57 1465521057 0x9, 5 4 1.76 2.48 2.42
2016-06-10_03:10:58 1465521058 0x9, 6 4 1.76 2.59 2.76
2016-06-10_03:11:00 1465521060 0x9, 7 5 2.07 1.76-1.18
2016-06-10_03:12:53 1465521173 0x9, 1 5 1.44 1.91 2.03
2016-06-10_03:12:54 1465521174 0x9, 2 5 1.55 2.11 2.17
2016-06-10_03:12:57 1465521177 0x9, 5 5 1.96 2.40 1.43
2016-06-10_03:12:58 1465521178 0x9, 6 5 2.07 1.96-0.42
2016-06-10_03:13:00 1465521180 0x9, 7 6 2.40 2.16-0.74
2016-06-10_03:14:01 1465521241 0x9, A 5 1.88 1.95 0.29
2016-06-10_03:14:53 1465521293 0x9, 1 6 2.00 2.16 0.54
2016-06-10_03:14:54 1465521294 0x9, 2 6 1.76 2.07 1.18
2016-06-10_03:14:57 1465521297 0x9, 5 6 1.88 2.16 0.98
2016-06-10_03:14:58 1465521298 0x9, 6 6 1.79 2.27 1.67
2016-06-10_03:15:00 1465521300 0x9, 7 7 2.27 2.44 0.48
2016-06-10_03:16:01 1465521361 0x9, A 6 1.32 2.35 4.11
2016-06-10_03:16:53 1465521413 0x9, 1 7 1.67 2.00 1.23
2016-06-10_03:16:54 1465521414 0x9, 2 7 2.00 2.48 1.52
2016-06-10_03:16:57 1465521417 0x9, 5 7 1.96 2.20 0.81
2016-06-10_03:16:58 1465521418 0x9, 6 7 1.84 2.83 3.07
2016-06-10_03:17:00 1465521420 0x9, 7 8 2.16 2.40 0.74
2016-06-10_03:18:01 1465521481 0x9, A 7 1.79 1.95 0.60
2016-06-10_03:18:53 1465521533 0x9, 1 8 1.64 2.59 3.26
2016-06-10_03:18:54 1465521534 0x9, 2 8 1.48 2.03 2.27
2016-06-10_03:18:57 1465521537 0x9, 5 8 1.88 2.40 1.72
2016-06-10_03:18:58 1465521538 0x9, 6 8 1.79 2.40 2.03
2016-06-10_03:19:00 1465521540 0x9, 7 9 1.88 2.83 2.92
2016-06-10_03:20:01 1465521601 0x9, A 8 1.44 1.95 2.18
2016-06-10_03:20:53 1465521653 0x9, 1 9 1.52 2.11 2.35
2016-06-10_03:20:54 1465521654 0x9, 2 9 1.52 2.11 2.35
2016-06-10_03:20:57 1465521657 0x9, 5 9 1.67 2.00 1.23
2016-06-10_03:20:58 1465521658 0x9, 6 9 1.84 2.44 1.99
2016-06-10_03:21:00 1465521660 0x9, 7 10 1.64 1.88 0.96
