2016-04-25_00:24:12 1461536652 0x6 0; BOOT
2016-04-25_00:32:11 1461537131 0x6 149;123,125,127,123,124,128,128,7/6b;0:f1/6b;0:0/0;0:0/0;0:20x6; 150 rTX 3
2016-04-25_00:34:12 1461537252 0x6 150;124,12c,12a,127,127,129,12b,7/6a;0:f1/6b;0:0/0;0:0/0;0:20x6; 151 rTX 5
2016-04-25_00:36:11 1461537371 0x6 151;12e,12f,130,12d-13b4,506-1:f0x6; 152 rTX 6
2016-04-25_00:38:12 1461537492 0x6 152;13a,136,132,137,137,138,13b,7/6b;0:f1/6b;0:0/0;0:0/0;0:20x6; 153 rTX 6
2016-04-25_00:40:11 1461537611 0x6 153;146,144,143,144,142,142,144,143,145,141,143,144,143,143,7/6b;0:f1/69;0:0/0;0:0/0;0:20x6; 154 rTX 5
2016-04-25_00:43:11 1461537791 0x6 0; BOOT
2016-04-25_00:45:11 1461537911 0x6 0;15f,15e,15f,15b,160,15f,15f,162,15f,15f,15f,160,160,160,160,160,15f,160,160,162,163,15f,160,160,15f-13ad,533-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-25_00:49:11 1461538151 0x6 157;175,175,174,176,176,175,177,175,173,175,175,175,175,175,175,175,174,175,176,175,175,173,175,174,176-1436,500-1:f7/6b;0:f1/6b;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;0:de/69;0:0/0
2016-04-25_00:51:11 1461538271 0x6 158;16d,16b,16d,16f,16c,16c,16d,16d,16c,16c,16d,169,16d,16d,16d,16b,16d,16e,16e,16f,16d,16d,170,16e,16c-145b,4f9-1:f7/6b;0:f0/6a;0:0/0;0:0/0;0:2/6a;0:0/0;0:0/0;0:0/0;0:dd/6b;0:0/0
2016-04-25_00:55:11 1461538511 0x6 160;15d,15b,160,15c,15b,15d,159,160,15e,15e,160,15c,15b,15d,15e,162,160,15d,15c,15e,162,160,15c,15d,161-1488,4ec-1:f7/6b;0:f1/6b;0:0/0;0:0/0;0:2/6b;0:0/0;0:0/0;0:0/0;2:dd/6b;0:0/0
2016-04-25_00:59:12 1461538752 0x6 162;178,17c,179,178,17a,179,17a,17c,17a,17a,17a,17c,17e,178,176,17b,17b,17b,17a,17c,17c,17d,17c,176,17a-14aa,4e8-1:f7/6c;0:f1/6b;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;1:dd/6a;0:0/0
2016-04-25_01:02:12 1461538932 0x6 0; BOOT
2016-04-25_01:04:12 1461539052 0x6 0;1eb,1e8,1e7,1e8,1e7,1e7,1e5,/0;0:0/0;0:0/0;0:0/0;0:0/0;00x6; 1 rTX 2
2016-04-25_01:06:12 1461539172 0x6 165;21a,21c,21b,225,221,21b,21f,222,222,21f,21f,220,222,21d,220,220,21e,21c,21e,225,221,221,223,221,223-150c,4fb-164:f7/6b;0:f1/6c;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;0:dd/69;0:0/0
2016-04-25_01:08:12 1461539292 0x6 166;25d,25c,25d,25c,25b,25c,25c,25c,259,25c,25b,25d,261,25e,25e,25e,25e,25e,25d,25e,25c,25d,260,25d,25e-1554,4e2-1:f7/6c;0:f1/6c;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;0:dd/6b;0:0/0
2016-04-25_01:10:11 1461539411 0x6 167;27f,27d,27d,27e,281,285,286,288,28b,28b,28b,28a,28b,288,284,286,27d,27e,281,287,287,288,292,29b,29e-159f,4d4-1:f6/69;0:f1/6b;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;0:dd/6b;0:0/0
2016-04-25_01:12:12 1461539532 0x6 168;2e1,2ed,302,308,2fe,2f8,2fa,2fd,30e,318,314,314,31e,31c,31b,317,31c,317,31a,31e,31b,309,313,31a,312-15ed,4c4-1:f6/6b;0:f1/6b;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;0:dd/6b;0:0/0
2016-04-25_01:16:12 1461539772 0x6 170;2f7,2f4,2f7,2f6,2fd,2fd,2fc,2ff,2fb,2f8,2fd,2fc,2f9,2f9,2fc,2fd,2fa,2f8,2fe,2fd,2fb,2fc,2fd,2fc,2ff-1672,496-1:f6/6b;0:f1/6b;0:0/0;0:0/0;0:2/6b;0:0/0;0:0/0;0:0/0;0:dd/68;0:0/0
2016-04-25_01:27:12 1461540432 0x6 176;441,443,440,444,43f,440,441,43b,43b,441,441,441,43a,43a,436,43a,43a,42c,450,44f,439,445,448,43e,422-16cd,48d-1:f6/6c;0:f1/6b;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;0:dd/6a;0:0/0
2016-04-25_01:35:12 1461540912 0x6 180;37d,3f7,3d3,393,3a1,3d1,3dc,395,3a9,3cc,3ae,38d,396,3c2,3b9,3b0,39b,3c3,3f0,3a8,382,3b0,3e4,3c8,384-1746,46d-1:f3/6a;0:f1/6c;0:0/0;0:0/0;0:20x6; 181 rTX 6
2016-04-25_01:40:12 1461541212 0x6 0; BOOT
2016-04-25_01:42:11 1461541331 0x6 0;2db,2da,2d6,2d6,2d8,2d5,2d5,2d1,2d4,2d4,2d2,2d3,2d2,2d2,2d5,2d3,2d4,2d2,2d4,2d7,2d3,2d6,2d6,2d4,2d3-16ad,4b1-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-25_02:24:11 1461543851 0x6 205;485,486,486,484,487,485,484,487,486,483,485,484,485,486,485,483,485,485,484,487,484,484,486,484,485-1889,45c-1:f5/69;0:f1/6b;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;0:db/68;0:0/0
2016-04-25_02:32:12 1461544332 0x6 209;497,49a,499,49a,49d,49b,49b,3/69;0:f1/6a;0:0/0;0:0/0;0:10x6; 210 rTX 2
2016-04-25_02:37:11 1461544631 0x6 0; BOOT
2016-04-25_02:39:12 1461544752 0x6 213;401,401,402,402,401,402,400,/0;0:0/0;0:0/0;0:0/0;0:1/6b;0x6; 214 rTX 2
2016-04-25_02:41:12 1461544872 0x6 214;333,332,332,32b,32f,333,331,334,32f,334,338,335,330,333,333,333,333,331,332,335,332,32d,330,337,336-18f3,422-1:f3/6c;1:f0/6b;0:0/0;0:0/0;0:2/6b;0:0/0;0:0/0;0:0/0;0:dc/6a;0:0/0
2016-04-25_02:45:12 1461545112 0x6 216;2e6,2e4,2e5,2e5,2e5,2e6,2e5,2e5,2e4,2e6,2e3,2e5,2e6,2e5,2e6,2e3,2e5,2e6,2e6,2e6,2ea,2e6,2e6,2e6,2e6-1841,43b-1:f5/6c;1:f1/6a;0:0/0;0:0/0;0:1/6c;0:0/0;0:0/0;0:0/0;0:dc/69;0:0/0
2016-04-25_02:47:12 1461545232 0x6 217;363,35f,362,363,362,35e,364,363,35f,360,35f,360,361,357,362,366,359,35c,364,35e,362,366,362,363,365-17fc,450-1:f3/6c;1:f0/6b;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;0:dc/69;0:0/0
