2016-04-20_07:18:39 1461129519 0x9 138;339,332,338,339,337,335,338,338,338,338,336,338,337,33a,337,338,33b,337,338,338,339,339,338,339,334-1448,a83-1:d8/69;1:d9/6b;0:0/0;0:0/0;1:db/6b;1:df/6c;0:0/0;0:0/0;0:00x9, A 137 631.88 911.59 2.59
2016-04-20_07:19:18 1461129558 0x9 139;397,394,390,394,393,38f,394,394,393,394,397,394,393,391,394,393,393,393,393,394,399,394,392,392,393-1467,a7d-2:d8/69;2:d9/6b;0:0/0;0:0/0;2:db/6b;2:df/6c;0:0/0;0:0/0;0:0/0;2:db/6b
2016-04-20_07:21:18 1461129678 0x9 140;8/69;3:d9/6b;0:0/0;0:0/0;3:d/0;2:da/6b
2016-04-20_08:01:46 1461132106 0x9 160; BOOT
2016-04-20_08:17:46 1461133066 0x9 167;4e1,4de,4e0,4e0,4e4,4e1,4e0,4e1,4dc,4e0,4e1,4e0,4e1,4e1,4e1,4e0,4e1,4e0,4e1,4df,4e0,4e0,4e0,4e0,4e0-16d9,89e-0:d6/66;0:d8/63;0:0/0;0:0/0;0:db/69;0:df/6a;0:0/0;0:0/0;0:0/0;1:d9/69
2016-04-20_08:19:46 1461133186 0x9 168;4e0,4dd,4e0,4df,4e0,4e1,4e0,4df,4e1,4e2,4e0,4de,4de,4e1,4e0,4e3,4e1,4e1,4e0,4e1,4de,4e0,4e0,4e0,4e0-16ea,889-1:d6/66;1:d8/63;0:0/0;0:0/0;1:db/69;1:df/6a;0:0/0;0:0/0;0:0/0;1:d9/6b
2016-04-20_08:22:39 1461133359 0x9 169;4d1,4d6,4d2,4d1,4cf,4d0,4d3,4d1,4d1,4d2,4d2,4d0,4d2,4d3,4d2,4d1,4d1,4d2,4d2,4d3,4d2,4d2,4d1,4d2,4d2-1702,87a-2:d6/66;2:d8/63;0:0/0;0:0/0;2:db/69;2:df/6a;0:0/0;0:0/0;0:00x9, A 169 1222.23 1240.00 0.10
2016-04-20_08:29:46 1461133786 0x9 173;4e5,4e3,4e5,4e6,4e5,4e5,4e5,4e3,4e4,4e5,4e3,4e4,4e4,4e5,4e6,4e5,4e5,4e5,4e5,4e5,4e5,4e4,4e5,4e4,4e2-1719,847-1:d7/68;1:d7/67;0:0/0;0:0/0;1:da/6a;1:de/6c;0:0/0;0:0/0;0:0/0;1:da/6c
2016-04-20_08:31:46 1461133906 0x9 174;4e9,4ea,4ea,4ea,4ea,4eb,4e4,4e7,4ea,4e9,4e9,4ea,4ea,4e8,4e9,4ee,4e9,4ed,4e8,4ea,4e9,4e9,4e9,4ea,4eb-1719,833-1:d6/65;1:d7/6a;0:0/0;0:0/0;1:db/68;1:de/6a;0:0/0;0:0/0;0:0/0;2:da/6c
2016-04-20_08:33:46 1461134026 0x9 175;4f0,4ef,4f1,4f0,4f3,4f0,4f0,4ee,4f0,4f0,4f2,4f0,4f0,4f0,4f0,4f0,4f0,4f1,4f2,4f0,4f0,4f0,4f0,4f1,4f0-1719,829-1:d4/5f;1:d8/6a;0:0/0;0:0/0;1:db/6a;1:df/6b;0:0/0;0:0/0;0:0/0;3:da/6c
2016-04-20_08:35:46 1461134146 0x9 176;4ef,4ec,4ee,4ee,4ee,4ee,4ec,4e9,4ed,4ed,4f0,4ec,4ee,4ee,4ec,4ee,4ed,4ed,4ee,4ed,4ed,4eb,4ee,4f0,4ec-172b,828-1:d6/6a;1:d7/68;0:0/0;0:0/0;1:db/6a;1:df/6c;0:0/0;0:0/0;0:0/0;2:d9/6c
